,Brand,0
260,Fergal Reilly,1
261,Finer,1
262,Fisher-Price,9
263,Fitbit,7
264,Fitkit,6
265,Fitlethic,1
266,Fitster5,1
267,Fitsy,1
268,Flash,1
269,Flintstop,9
270,Flow,1
271,Foodie Puppies,1
272,Formula 1,8
273,Foscam,8
274,Frantic,1
275,FunKo,10
276,Funskool,11
277,Funskool-Asmodee,8
278,Fur Jaden,2
279,Futurekart,10
280,GADGETS WRAP,1
281,GANDIVA,4
282,GIZGA essentials,3
283,GJ,5
284,GLEAM,1
285,GLUN,6
286,GM,6
287,GOCART WITH G LOGO,1
288,GODS,1
289,GREAT MASTER,3
290,GTC,2
291,GYRONAX,1
292,GZQNAN,1
293,Gadget Hero's,1
294,Gadget-Wagon,3
295,Gajraj,1
296,Gala,1
297,Game of Thrones,1
298,Ganesh,9
299,Garmin,1
300,Gear,3
301,Generic,217
302,Generic (unbranded),16
303,Generic Unbranded,9
304,Genius Box - Play some Learning,1
305,Genric,18
306,Getko,1
307,Gigabyte,10
308,GoTrippin,1
309,God Gift,10
310,Godrej,17
311,Godrej aer,5
312,Goldmedal,6
313,Goodness,1
314,Gorilla,4
315,Greeneye Technology,1
316,Grobag,2
317,HARD KNIT,9
318,HASHTAG FITNESS,1
319,HIDE & SKIN,1
320,HM Digital,1
321,HOIN,1
322,HOKIPO,1
323,HOLME'S,1
324,HOME CUBE,1
325,HORNBULL,1
326,HP,51
327,HTC,3
328,HTC Instrument,9
329,HUILE,8
330,Haier,1
331,Halo Innovations,5
332,Halonix,6
333,Happile,2
334,Harikrishnavilla,10
335,Hariprasad Chaurasia,5
336,Havells,11
337,Hawkins,9
338,Head & Shoulders,8
339,Heads Up For Tails,1
340,Healthex,3
341,Healthgenie,3
342,Hikvision,12
343,Himalaya,40
344,Hipkoo,2
345,Home Bargain,1
346,Home Pictures,1
347,Home Spa,3
348,Homefab India,3
349,Honeywell,8
350,House of Marley,4
351,House of Quirk,1
352,Huawei,2
353,Huggies,15
354,Hush Plug,1
355,Hynix,13
356,I Craft for Less,6
357,IBIZA,2
358,IFITech,2
359,IKALL,4
360,ILARTE,1
361,INDISWAN,1
362,INLANDER,1
363,INOVERA (LABEL),2
364,IRIS,6
365,ISEE 360,1
366,IShake,2
367,Immunity booster,3
368,Impulse,2
369,In tel,5
370,Inalsa,10
371,India,2
372,Indian Riders,2
373,Indian Stallion,4
374,Inditradition,2
375,Inditrust,1
376,Insasta,9
377,Intel,9
378,Intern,1
379,Intex,19
380,Involve Your Senses,6
381,Ionix,1
382,Irrfan Khan,5
383,Isomars,3
384,Ivaan,4
385,Izoo,1
386,JAPSBAG,1
387,JASS HOME DECOR,1
388,JBL,10
389,JK,6
390,JMAGS,2
391,JT,10
392,JUAREZ,3
393,JVS,2
394,JY SUPER,8
395,Jack Black,3
396,Jade Spade,1
397,Jason Momoa,1
398,Jazz Fashions,1
399,JioFi,3
400,John Boyega,4
401,Johnny Depp,3
402,Johnson's,27
403,Jopasu,6
404,K London,2
405,K7,1
406,KABEER ART,1
407,KETSAAL,3
408,KEZRO,1
409,KILLER,1
410,KOUZI,1
411,KS,10
412,Kabello,1
413,Kadence,9
414,Kaspersky,22
415,Kelly Macdonald,2
416,Kent,13
417,Kevin,1
418,Kimberly-Clark,1
419,Kingston,16
420,Kishori Amonkar,2
421,Klapp,4
422,Kobo,6
423,Kodak,3
424,Konex,10
425,Kookaburra,1
426,Kore,2
427,Kores,9
428,Koryo,1
429,Kraptick,2
430,Krazzy Collection,2
431,Krevia,1
432,Krisons,1
433,Kuber Industries,2
434,Kurtzy,1
435,Kusam Meco,4
436,LALA LIFE,1
437,LEGO,6
438,LG,17
439,LIOOBO,1
440,LOOPAn,2
441,LORETO – A QUALITY LINEN BRAND,1
442,LTETTES,1
443,LYCAN,1
444,La Polo,1
445,Lapcare,7
446,Laurels,1
447,Le Gear,1
448,Leaf,1
449,LeeRooy,4
450,Leegoal,1
451,Lenovo,33
452,Leverage,1
453,Li-Ning,13
454,Lifeline,8
455,Lifelong,1
456,Liolis,1
457,Lista,23
458,Litake,4
459,Little Pumpkin,1
460,Little's,9
461,Littly,5
462,Liverpool F.C.,1
463,Livzing,1
464,Lloyd,2
465,Logitech,17
466,Lolin NodeMCU,8
467,Lotus,16
468,Lovely Arts Collection,6
469,Low Price,9
470,Lunar's,1
471,Lutyens,1
472,Luvlap,21
473,Luzon Dzire,10
474,M.Chandrasekharan,4
475,MANTRA,8
476,MAONO,1
477,MARINE PEARL,1
478,MCP,4
479,MChoice,2
480,MEXTECH,9
481,MILTON,51
482,MK,9
483,MOM'S HOME,1
484,MOUNT TRACK,1
485,MPRT,2
486,MRF,5
487,MUFUBU,1
488,MUSTANG,1
489,MY 60 MINUTES,1
490,MY SHAKE,3
491,Magideal,13
492,Magna Tiles,8
493,Mahanandhi web services,1
494,Maharaja Whiteline,2
495,Mamaearth,11
496,MamyPoko,28
497,Manchester City F.C.,1
498,Mandhania,6
499,Mappo,6
500,Mark Hamill,1
501,Mastech,6
502,Max Secure,1
503,Max2100,4
504,McAfee,1
505,Meat Up,1
506,Meco,1
507,Mee Mee,23
508,Metro,8
509,Meya Happy,1
510,Mi,10
511,Michelin,2
512,Micromax,5
513,Microsoft,15
514,Milestone,1
515,Milestouch,9
516,Mitashi,3
517,Mivi,2
518,Mobias Retails,3
519,MobileGabbar,9
520,Mohit Chauhan,2
521,Mohit Raina,4
522,Monitor,2
523,Morphy Richards,8
524,Motorola,8
525,Mototrance,2
526,Munchkin,7
527,MuscleXP,1
528,My Shaldan,6
529,Mystique,1
530,N Choice,1
531,NETCO POWER,10
532,NIRLON,1
533,NISHICA,1
534,NISUN,1
535,NIVIA - - Step Out & Play,4
536,NOVEX,1
537,NOVICZ,8
538,NPRC,1
539,Namco,10
540,NeedyBee,1
541,Nestle,4
542,Netgear,10
543,Nice Line,1
544,Nikon,22
545,Nilvarna Handicraft,1
546,Nimble House,1
547,Nivia,22
548,Noise,4
549,Nootie,2
550,Numlock,9
551,OCIAL,2
552,ONLINE MONK,1
553,ORICO,4
554,ORPIO (LABLE),1
555,OSE,10
556,OULII,1
557,Oddy,9
558,Okayji,1
559,Ole Baby,1
560,Ollmii,1
561,Omron,8
562,Ontel,1
563,Ontime,5
564,Orient,15
565,Orient Electric,1
566,Origami So..Soft,10
567,Orpat,23
568,Owen Wilson,1
569,Ozoy,2
570,PAPER PLANE DESIGN,3
571,PARADOX (LABEL),1
572,PCS SYSTEM - Battery Airtel E5573s,2
573,PEEBUDDY,2
574,PITZO,1
575,PMW,2
576,POLE STAR,2
577,PROCUS,1
578,PROKLEAR,2
579,PUREPET,1
580,Pampers,25
581,Pampers Premium Care,5
582,Panasonic,3
583,Pandit Nikhil Banerjee,4
