,Brand,0
260,Fergal Reilly,1
261,Finer,1
262,Fisher-Price,1
263,Fitbit,4
264,Fitkit,8
265,Fitlethic,2
266,Fitster5,1
267,Fitsy,2
268,Flash,1
269,Flintstop,1
270,Flow,1
271,Foodie Puppies,1
272,Formula 1,2
273,Foscam,1
274,Frantic,1
275,FunKo,1
276,Funskool,3
277,Funskool-Asmodee,1
278,Fur Jaden,3
279,Futurekart,1
280,GADGETS WRAP,1
281,GANDIVA,2
282,GIZGA essentials,1
283,GJ,1
284,GLEAM,1
285,GLUN,2
286,GM,5
287,GOCART WITH G LOGO,1
288,GODS,1
289,GREAT MASTER,1
290,GTC,1
291,GYRONAX,2
292,GZQNAN,1
293,Gadget Hero's,1
294,Gadget-Wagon,1
295,Gajraj,1
296,Gala,1
297,Game of Thrones,1
298,Ganesh,3
299,Garmin,1
300,Gear,5
301,Generic,51
302,Generic (unbranded),2
303,Generic Unbranded,1
304,Genius Box - Play some Learning,2
305,Genric,2
306,Getko,1
307,Gigabyte,1
308,GoTrippin,1
309,God Gift,1
310,Godrej,11
311,Godrej aer,1
312,Goldmedal,1
313,Goodness,2
314,Gorilla,2
315,Greeneye Technology,1
316,Grobag,1
317,HARD KNIT,1
318,HASHTAG FITNESS,1
319,HIDE & SKIN,1
320,HM Digital,1
321,HOIN,1
322,HOKIPO,1
323,HOLME'S,1
324,HOME CUBE,1
325,HORNBULL,12
326,HP,23
327,HTC,1
328,HTC Instrument,1
329,HUILE,1
330,Haier,1
331,Halo Innovations,1
332,Halonix,1
333,Happile,1
334,Harikrishnavilla,3
335,Hariprasad Chaurasia,2
336,Havells,4
337,Hawkins,2
338,Head & Shoulders,1
339,Heads Up For Tails,1
340,Healthex,1
341,Healthgenie,5
342,Hikvision,4
343,Himalaya,10
344,Hipkoo,1
345,Home Bargain,1
346,Home Pictures,1
347,Home Spa,1
348,Homefab India,1
349,Honeywell,1
350,House of Marley,1
351,House of Quirk,1
352,Huawei,1
353,Huggies,7
354,Hush Plug,1
355,Hynix,3
356,I Craft for Less,1
357,IBIZA,1
358,IFITech,1
359,IKALL,8
360,ILARTE,1
361,INDISWAN,1
362,INLANDER,2
363,INOVERA (LABEL),1
364,IRIS,1
365,ISEE 360,1
366,IShake,2
367,Immunity booster,1
368,Impulse,2
369,In tel,1
370,Inalsa,3
371,India,1
372,Indian Riders,2
373,Indian Stallion,1
374,Inditradition,3
375,Inditrust,1
376,Insasta,1
377,Intel,1
378,Intern,1
379,Intex,3
380,Involve Your Senses,1
381,Ionix,1
382,Irrfan Khan,2
383,Isomars,1
384,Ivaan,1
385,Izoo,1
386,JAPSBAG,1
387,JASS HOME DECOR,1
388,JBL,15
389,JK,1
390,JMAGS,1
391,JT,1
392,JUAREZ,6
393,JVS,1
394,JY SUPER,1
395,Jack Black,1
396,Jade Spade,2
397,Jason Momoa,1
398,Jazz Fashions,1
399,JioFi,1
400,John Boyega,1
401,Johnny Depp,1
402,Johnson's,8
403,Jopasu,2
404,K London,2
405,K7,1
406,KABEER ART,2
407,KETSAAL,1
408,KEZRO,1
409,KILLER,2
410,KOUZI,1
411,KS,1
412,Kabello,1
413,Kadence,2
414,Kaspersky,8
415,Kelly Macdonald,1
416,Kent,3
417,Kevin,5
418,Kimberly-Clark,1
419,Kingston,2
420,Kishori Amonkar,2
421,Klapp,2
422,Kobo,3
423,Kodak,1
424,Konex,1
425,Kookaburra,1
426,Kore,3
427,Kores,2
428,Koryo,1
429,Kraptick,2
430,Krazzy Collection,1
431,Krevia,1
432,Krisons,3
433,Kuber Industries,3
434,Kurtzy,1
435,Kusam Meco,19
436,LALA LIFE,1
437,LEGO,1
438,LG,17
439,LIOOBO,1
440,LOOPAn,1
441,LORETO – A QUALITY LINEN BRAND,1
442,LTETTES,1
443,LYCAN,2
444,La Polo,1
445,Lapcare,1
446,Laurels,1
447,Le Gear,1
448,Leaf,1
449,LeeRooy,1
450,Leegoal,1
451,Lenovo,12
452,Leverage,1
453,Li-Ning,3
454,Lifeline,2
455,Lifelong,1
456,Liolis,1
457,Lista,5
458,Litake,1
459,Little Pumpkin,2
460,Little's,1
461,Littly,1
462,Liverpool F.C.,1
463,Livzing,1
464,Lloyd,2
465,Logitech,5
466,Lolin NodeMCU,1
467,Lotus,2
468,Lovely Arts Collection,1
469,Low Price,1
470,Lunar's,1
471,Lutyens,2
472,Luvlap,21
473,Luzon Dzire,1
474,M.Chandrasekharan,1
475,MANTRA,1
476,MAONO,1
477,MARINE PEARL,1
478,MCP,2
479,MChoice,1
480,MEXTECH,2
481,MILTON,15
482,MK,1
483,MOM'S HOME,1
484,MOUNT TRACK,2
485,MPRT,1
486,MRF,2
487,MUFUBU,1
488,MUSTANG,1
489,MY 60 MINUTES,1
490,MY SHAKE,1
491,Magideal,4
492,Magna Tiles,1
493,Mahanandhi web services,2
494,Maharaja Whiteline,3
495,Mamaearth,6
496,MamyPoko,12
497,Manchester City F.C.,3
498,Mandhania,1
499,Mappo,1
500,Mark Hamill,1
501,Mastech,1
502,Max Secure,1
503,Max2100,1
504,McAfee,3
505,Meat Up,3
506,Meco,1
507,Mee Mee,8
508,Metro,1
509,Meya Happy,1
510,Mi,13
511,Michelin,1
512,Micromax,5
513,Microsoft,6
514,Milestone,1
515,Milestouch,1
516,Mitashi,7
517,Mivi,1
518,Mobias Retails,2
519,MobileGabbar,1
520,Mohit Chauhan,1
521,Mohit Raina,1
522,Monitor,1
523,Morphy Richards,2
524,Motorola,1
525,Mototrance,2
526,Munchkin,1
527,MuscleXP,1
528,My Shaldan,1
529,Mystique,1
530,N Choice,2
531,NETCO POWER,2
532,NIRLON,1
533,NISHICA,1
534,NISUN,1
535,NIVIA - - Step Out & Play,4
536,NOVEX,4
537,NOVICZ,4
538,NPRC,1
539,Namco,1
540,NeedyBee,1
541,Nestle,1
542,Netgear,2
543,Nice Line,2
544,Nikon,8
545,Nilvarna Handicraft,1
546,Nimble House,1
547,Nivia,11
548,Noise,1
549,Nootie,2
550,Numlock,1
551,OCIAL,1
552,ONLINE MONK,1
553,ORICO,1
554,ORPIO (LABLE),1
555,OSE,1
556,OULII,1
557,Oddy,2
558,Okayji,4
559,Ole Baby,1
560,Ollmii,1
561,Omron,1
562,Ontel,1
563,Ontime,1
564,Orient,3
565,Orient Electric,1
566,Origami So..Soft,1
567,Orpat,4
568,Owen Wilson,1
569,Ozoy,2
570,PAPER PLANE DESIGN,1
571,PARADOX (LABEL),1
572,PCS SYSTEM - Battery Airtel E5573s,1
573,PEEBUDDY,1
574,PITZO,2
575,PMW,1
576,POLE STAR,9
577,PROCUS,1
578,PROKLEAR,1
579,PUREPET,1
580,Pampers,16
581,Pampers Premium Care,3
582,Panasonic,7
583,Pandit Nikhil Banerjee,1
