,Seller,0
1035,INDIAS HEART,1
1036,INDIASHOPERS,1
1037,INFINITY HOSPITALITY,1
1038,INFOTRADE IMPEX,1
1039,INNOVATIVE DESIGN AND ELECTRONIC APPLICATION(IDEA),1
1040,INSPIRE CRAFT,2
1041,IQONIQO INC.,4
1042,IROBOTBOX,1
1043,ISEE 360,1
1044,ISOMARS,1
1045,IT SALES,1
1046,IT STORM,1
1047,IT TECH SOLUTIONS,1
1048,ITBUSINESS2017,1
1049,ITIANS,1
1050,ITTSTOREE(EXCLUSIVE STORE),1
1051,Ibuy Online,1
1052,Icons-Mumbai Asus / MSI Authorize Partner,1
1053,Impact services,1
1054,ImplyWorld,1
1055,Importkar India,2
1056,Indeals,1
1057,Independence  offers_SLP,1
1058,India Ecom,1
1059,India INC.,6
1060,India Sales Corp,4
1061,India Trading Company,1
1062,India.Mart,1
1063,IndiaMart Electronics®,3
1064,India_Retail,1
1065,Indian Hobby Shop,1
1066,Indian Trading,1
1067,Indian crockery house,1
1068,Inditradition ®,11
1069,Indocool,1
1070,Infallible Deals,2
1071,Infinite IT Solutions & Services,1
1072,Infiniticomputers,1
1073,Infinity Games,4
1074,InfinityStores,2
1075,Ink Cartridge Shop,1
1076,Inkart Retail,1
1077,"Inkcaboodle, DELHI",1
1078,Innotech Lifecare,1
1079,Innovative E-Store,2
1080,Innovegic Mart,1
1081,Inreco,1
1082,Instrukart Holdings,2
1083,International Hub,1
1084,Involve Your Senses,1
1085,Ish Traders,1
1086,Ishan Electricals,1
1087,Ishant  E Store,1
1088,Isupersport,1
1089,Itdeals,1
1090,Ivaan,1
1091,Izcorp India,1
1092,Izoo®,1
1093,J H MART,2
1094,J P Sales,5
1095,J. C. ENTERPRISE,1
1096,J.C.Sales,3
1097,"J.K.ENTERPRISES""",1
1098,J.S.R TEXTILES,2
1099,JAGDAMBA MULTISERVICES,1
1100,JAI JALARAM GIFT & STATIONARY,3
1101,JAIKARA,1
1102,JAIN & BROTHERS,1
1103,JAINAM SHOPPING MART,1
1104,JAPSBAG,1
1105,JAPTEC,1
1106,JAS PVT LTD,1
1107,JAY MEDICALS,1
1108,JAYSON ACCESSORIES,1
1109,JAZZ FASHIONS,1
1110,JBB Retail,1
1111,JBS Corporation,1
1112,JHA & BROTHERS,1
1113,JINKRYMEN,1
1114,JJMEHTA Mumbai,1
1115,JK GUPTA,3
1116,JK India,2
1117,JMAGS,1
1118,JMD ENTERPRISES 24X7,2
1119,JMD Global Sales,1
1120,JMD Helmets,2
1121,JMD Traders 001,1
1122,JN Retails,1
1123,JOTIY NAGAR,1
1124,JPS Lifestyle Products,4
1125,JPSmartStore,1
1126,JSB Healthcare,1
1127,JSC RETAIL,1
1128,JSD PRO,1
1129,JTJ INDIA RETAIL,1
1130,JUMMAH ELECTRONICS,1
1131,JUNOS,1
1132,Jadagamba Electrical,1
1133,Jade Spade,1
1134,Jagdamba etraders,1
1135,JaguarServices,1
1136,Jagyogi Enterprises,1
1137,Jain-E-Shop,1
1138,Jajoria Store,1
1139,Janjua Sports,3
1140,Jass Home Decor,1
1141,Jay gurudev tailoring material™,3
1142,Jha&bros FREE Additional 90 days Warranty services,1
1143,Jibin Agencies,1
1144,Jilani® Trading,1
1145,Jjt traders,2
1146,JnY Entertainment,4
1147,JollyBuy,4
1148,Jumbo Retails,2
1149,Jungleaid,1
1150,Juniors Junction,6
1151,Just Deal Mart,1
1152,Just Smart Products,1
1153,Jyoti Devi,3
1154,Jyoti Infocom,1
1155,K London,1
1156,K N ENTERPRISES 1,1
1157,K.M.ENTERPRISES,1
1158,K5SPORTS,1
1159,KAAMDHENU,3
1160,KALYAN ENTERPRISES UDAIPUR,1
1161,KAMALANJ TRADING CO,1
1162,KAMDHENU SPORTS,5
1163,KAN & STYLE 98,1
1164,KARUNAENTERPRISES,1
1165,KAS CREATION,5
1166,KATALYSST,1
1167,KB HOME PRODUCTS,1
1168,KCM_STORE,2
1169,KESARIYA AGENCIES,1
1170,KESL,1
1171,KGL Trading,1
1172,KIDA Retail Private Ltd,5
1173,KIDOFLY INDIA,1
1174,KINNARAS TRADING CO.,1
1175,KLICKHIGH,1
1176,KM&Co,1
1177,KNG NZ 83,1
1178,KPA,1
1179,KPH Sales,1
1180,KPSalesIndia,2
1181,KRISHNA A2Z,2
1182,KRISHNA ELECTRICALS & HARDWARES,1
1183,KRIVA ENTERPRISE,2
1184,KULDEEP CAR ACCESSORIES,1
1185,KUSHWAHA TRADERS,1
1186,Kabello® - Kanika Enterprises,1
1187,Kaira Accessories,1
1188,Kalptaru Trade,7
1189,Kamel enterprises,2
1190,Kanha Retails,1
1191,Kanhaiya Enterprises(KE) Dhanbad,1
1192,Karnimaaji,2
1193,Kart Trade,1
1194,Kasnox,1
1195,Kaushal Sports Industries,1
1196,Kayra Decor,1
1197,Kb Traders,2
1198,Keerti Agencies,1
1199,Keshav Industries.,1
1200,Khanna enterprise,1
1201,Kharesiya Group,1
1202,Kharidiye dot com,15
1203,Khel Kood,1
1204,Khem singh enterprises,1
1205,Khurana_Store,2
1206,Khushi Musicals,1
1207,Khushi NX,2
1208,KiViS Retail,2
1209,Kid's World India,1
1210,Kids Gate Games,2
1211,Kids Haveli,4
1212,Kids Treasures,1
1213,Kindle Retail,2
1214,King Security~,4
1215,King automotives,2
1216,KiranaMarket,2
1217,Kiron,11
1218,Kitchen Mart,1
1219,Kitchenking,1
1220,Klick Technology,1
1221,Knexmart,3
1222,Kochar Computers,2
1223,Kosmic Square,2
1224,Kosmētika,3
1225,KraftIndia,1
1226,Krazzy Deal,1
1227,KrishCommerce,1
1228,Krishna Computers indore,2
1229,Krishna Creators,3
1230,Kritika Enterprises Cosmetic,1
1231,Ktrack International,1
1232,Kukatoo,10
1233,Kurtzy-India,1
1234,L G OVERSEAS,1
1235,L. B. PRINERS,1
1236,L.R.S (INDIA),1
1237,LAFFALE INTERIO SOLUTION,1
1238,LEARNIX,1
1239,LED AND HOMETHEATRE MART CHENNAI,1
1240,LEECHY UTILITIES,2
1241,LENS HOOD DEALS,1
1242,LIBRA COM CORP,1
1243,LIFE AND ART ACADEMY,1
1244,LIFESTYLES,3
1245,LIQUIDO SOLUTIONS,2
1246,LITTLE MILLENNIUM EDUCATION PRIVATE LIMITED,1
1247,LITTLE TOYS,1
1248,LOKESH ELECTRONICS,1
1249,LOVEMUSIC,3
1250,LOWEST PRICE SHOP,2
1251,LOWEST PRICE SHOP-1,1
1252,LSSales,2
1253,LabKart India Pvt Ltd,1
1254,Laddu Gopal Poshak,1
1255,Lakshita Shop!!,2
1256,Lakshmi Enterprises....,1
1257,Lakshmigraha Worldwide INC,1
1258,Lance Retail,1
1259,Laxmiganapathi enterprises,1
1260,Laxsun,1
1261,Le Younkers Retail,1
1262,Leather Retail,1
1263,Lehnn and Me,1
1264,Lets Buy,1
1265,Leverage Science And Technologies Limited,1
1266,Lexica,2
1267,Lifestyle Fashions,1
1268,Lifestyle Solutions,1
1269,Lightning_Dealz,2
1270,Lilypunk,1
1271,Liolis,1
1272,Littly,1
1273,Livzing,1
1274,LogisyzTech,3
1275,London Hills,3
1276,LondonStreet,1
1277,Lordkrishna's,1
1278,Loreto,1
1279,Lotus Marketing and company,1
1280,Lovely Arts collection,1
1281,Lucky Pen Center,4
1282,Lyallpur Stores,1
1283,M 7 e TRADERS,1
1284,M D  ENTERPRISE,1
1285,M MEGA MART™,1
1286,M-TECHNO,4
1287,M-Tech,2
1288,M. S. TRADING CO.,1
1289,M.A Enterprise,1
1290,M.G.R,1
1291,M.P.Enterprises,3
1292,M.R. ENGINEERING,1
1293,M.R.Computers,1
1294,M.V.S.N,2
1295,M/S Akhilesh,2
1296,M/S COOL DUDE,1
1297,M/s Gifts World,2
1298,M/s Samriddhi Ecom,2
1299,M/s Vamika Trading Company,1
1300,M/s. PAPYRUS,3
1301,MAA SARODA PHARMACEUTICAL,3
1302,MADHAV MARKETING,1
1303,MAGIC BELLZ,6
1304,MAGIC VAULT,1
1305,MAHADEV SPORTS MEERUT CITY,2
1306,MAHANANDI WEB SERVICES,1
1307,MAHAVIR ELECTRONICS ME,1
1308,MAK_MART,2
1309,MANDEEP SERVICES,2
1310,MARKS A,1
1311,MARUTI1,1
1312,MATTRIX INTERNATIONAL,3
1313,MAXBOOST,1
1314,MAXEEMISER,1
1315,MAXUS IT,2
1316,MAYANK. ENTERPRISES,1
1317,MB VISION,1
1318,MBI Store,3
1319,MBMInnovations,7
1320,MDENTERPRISES0901,1
1321,MEGADEALS 27,1
1322,MEXTECH TECHNOLOGIES  INDIA PVT LTD,1
1323,MGENTERPRISE,1
1324,MGR ENTERPRISES,1
1325,MHV TECHNOLOGIES,1
1326,MICROMINI,2
1327,MIRAZ,1
1328,MKIP,3
1329,MM Sales Corporation,1
1330,MMR Mades,2
1331,MOBITRONIC_SLP-SAMSUNG AUTHORIZED,1
1332,MOGAPPAIR SHOPPEE,1
1333,MOHIT RAKHI,1
1334,MOMAI ENTERPRISE,2
1335,MONICAI,2
1336,MORGAN FILTRATION,2
1337,MOTHERS HOME APPLIANCES,2
1338,MOVIEZONE,6
1339,MPG GROUP PVT LTD™,2
1340,MPS PVT. LTD,2
1341,MR SCIENTIFIC CENTER,2
1342,MR stationery store,7
1343,MRGDT,1
1344,MSALE,1
1345,MSN Enterprises2015,1
1346,MUMBAI SELLER,2
1347,MURGAN,2
1348,MUSIC  KING,1
1349,MUSIC N BEYOND,3
1350,MV Inforways,2
1351,MV VENTURES,2
1352,MY Choices ID,1
1353,MYCAR ADDON,2
1354,Maadurgacreation,2
1355,Maayra ColorWorld,1
1356,Mack Retail,1
1357,Madaan communication,1
1358,Madipakkam Sports,1
1359,Madura Tools and Pneumatics,1
1360,MahajanSports,2
1361,Mahalaxmi Paper Products,2
1362,Mahaveerelectronics,1
1363,Mahavir Sports And Fitness,1
1364,Mahesh Creations Store,3
1365,Mahesh General & Fancy Store.,1
1366,Mahesh unique collections,2
1367,Mahna Auto Store,3
1368,Makemydeal,1
1369,Malhotra electronics.,1
1370,Manan Trading,2
1371,Mandhania E-Commerce,1
1372,Mani Sales,1
1373,Manoj Kumar Aggarwal,1
1374,Mansi Filaments PVT. LTD,1
1375,Marche Ricche fashion,3
1376,Marine Pearl,1
1377,MarshallsPetZone,1
1378,Maxine Electrical,1
1379,MaxxGallery,1
1380,Mayfly Books,2
1381,Mee Mee,1
1382,Meera-Enterprises,22
1383,Meeso International,1
1384,Mega Global,1
1385,Mehta Ent,2
1386,Meili,3
1387,Meru Enterprises,1
1388,Metaphor Store,1
1389,Metro Enterprise,2
1390,Metro Mart India,2
1391,Metroz Enterprises.,1
1392,Meya Happy®,1
1393,Milestone Info Solutions,2
1394,Minti Ji,1
1395,Miracle Retail,1
1396,Mittal Power System,2
1397,Mittal chemist,2
1398,MittalDistributors,1
1399,MobiNok(Brand Authorised Seller ),1
1400,Mobile Forum,1
1401,Modern Equipments,1
1402,Modern Tech.,1
1403,ModernStores2017,2
1404,Monalisa bags,1
1405,Moonlight Express,1
1406,Morya Super Shoppee,1
1407,MotoRogue,1
1408,MpkrtRetailNet,1
1409,Ms Enterprises 007,1
1410,Muchacho India,1
1411,Mudra Retail,1
1412,Mufubu,1
1413,Muggles International,1
1414,MultiStore25,1
1415,Mumtaj beauty palace,1
1416,Musee Musical Pvt Ltd,1
1417,Music Chub,1
1418,Music Corner Chandigarh,6
1419,Music Lovers India,2
1420,Music Tycoons,4
1421,Music ville pvt ltd,1
1422,Music&more,9
1423,MusicWale,2
1424,Musician Jack,1
1425,Musician's Point,1
1426,My Beauty Bazaar,6
1427,My Nutra Mart,1
1428,My bags.,1
1429,MyGameShop Kolkata,3
1430,MyITonline,2
1431,MyKart99,1
1432,MyPryce,1
1433,MyTechVision,2
1434,Mycica,1
1435,Mydeal365,3
1436,Myhealthycopper,1
1437,N Choice Bags,1
1438,N K Gupta & Co.,3
1439,N-Mediatech,1
1440,N. K. MARKETING,1
1441,N.S.N. ENTERPRISE,1
1442,N.V.C.,3
1443,NAIKY,1
1444,NAMO 2019,2
1445,NAVKAR !!,3
1446,NAVKAR SOLUTION POINT BIKANER,1
1447,NAVKAR SYSTEMS,1
1448,NAVYA TRADERS,1
1449,NAYKA®,1
1450,NAYSA,1
1451,NEELESH LIGHT HOUSE,1
1452,NETGEN,1
1453,NEW ERA TECH,1
1454,NEW GOODLUCK G STORE,5
1455,NEW2018,1
1456,NEWBORN KIT,1
1457,NEWTECH inc,5
1458,NEXPER,1
1459,NIS COMPUTER,1
1460,NISUN INC.,1
1461,NIVEDITAOVERSEAS,1
1462,NMPL(NOISE),1
1463,NO WORRY SPORTS2,1
1464,NOVATECHWORLD,1
1465,NPI Fitness,2
1466,NPRC,1
1467,NRMART,1
1468,NRS Group,1
1469,NTCmark,6
1470,NaTiVe StOrE,3
1471,Nakoda Cellular,1
1472,Nakoda Tech,1
1473,Nakoda Trading,1
1474,Nallu Infotech,8
1475,Nandi home appliances,1
1476,Nandwani Enterprises,1
1477,Naomika Enterprises,1
1478,Narendra chhabda,1
1479,Narpatsingh9791067525,1
1480,Nash Convergent Solutions,1
1481,National-shoppe,4
1482,Natural and tile selling,1
1483,Naughty Cosmo,2
1484,NeedyBee,1
1485,Nehal Infotech,1
1486,Neil Enterprises,1
1487,Neminath Electricals,1
1488,Nervy Technologies,1
1489,Neudigitronics,1
1490,New Online Deals,1
1491,New Online Fashion,1
1492,New Super Star Selections,12
1493,New Tech World,1
1494,New Webshoppers,1
1495,New Year Dhamaka,1
1496,New York Plaza,2
1497,New fashion 4 U,1
1498,Next World Retail,1
1499,NexusCorp®,1
1500,Nice Line Bags,1
1501,Night Hawk,1
1502,NikZone,2
1503,Nilvarna Handicraft,1
1504,Nimble house,1
1505,Nimbose®,1
1506,NionAI,1
1507,Nirmalsale,1
1508,Nischal Impex,1
1509,Nishadil Retails,1
1510,Nishka Technologies,1
1511,Nitesh Electronics,1
1512,Nithi Enterprise,1
1513,Njoy-Buying,4
1514,NoWorrry,1
1515,Nohunt,1
1516,Nostro Store,1
1517,NoteKart,1
1518,Novelty Smart Kitchen,1
1519,Novex,1
1520,Nst online,1
1521,NumBrave,4
1522,Nureca Inc USA,3
1523,Nutan medical hall,1
1524,Nutrition xp,1
1525,NyCraze,8
1526,O Three,1
1527,O.S TRADERS,1
1528,OJASVI HERBS,2
1529,OL ELECTRONICS,1
1530,OM INDUSTRIES INDIA,1
1531,OM SAI CAR DECOR,1
1532,OMBUZZ SERVICES,1
1533,ON GATE®,1
1534,ONKĀR,1
1535,ONLINE ALL IN ONE SHOPPE,2
1536,ONLINE DTH SHOP,1
1537,ONLINE HUT,1
1538,ONLINE SHOP 24,2
1539,ONLINEMANTRA,2
1540,ONLINESURYAA,1
1541,OPAS PRODUCT,1
1542,OPERA HOUSE,1
1543,OPG Sourcing,1
1544,OR CONSULTANTS,1
1545,OWN INDIA TRADERS,2
1546,Oceans Trade,1
1547,Oddish way to fitness,1
1548,Odila Zone,1
1549,Oero Pvt ltd,2
1550,Official Digital Vengeance,5
1551,Offimart™.,7
1552,Oggin Tech,1
1553,Okayji,2
1554,Olab Industries,2
1555,Olympia Electronics SLP,3
1556,Olympia Industries Ltd.,4
1557,Om Beauty,1
1558,Om Sai Computers79,1
1559,Om Technocraft,2
1560,Om Trading Company..,1
1561,Om plastic business,1
1562,Omenterprises59,1
1563,Omnisleep Solutions,1
1564,OnRoute Tech Pvt Ltd,1
1565,Onam Retail,2
1566,One STOP Shop®,7
1567,One n Seven Crew,3
1568,OneStop Traders,1
1569,Online BGA,2
1570,Online Boss,3
1571,Online IT World,9
1572,Online Monk,1
1573,Ontime™,1
1574,Open Road Ventures,1
1575,Oraima Electro Power,1
1576,Orange E store,2
1577,Orgner,1
1578,Original Car Key Covers,1
1579,Original cartridge store,2
1580,Oshop Trades,2
1581,Ozoy®,1
1582,P.U.P.S,1
1583,PA ENTERPRISES08,3
1584,PABUJI ENTERPRISES,1
1585,PACKIA JAYANTHI TECHNOLOGIES,2
1586,PADMAVATHI  DISTRIBUTORS,1
1587,PAM TRADERS,2
1588,PARADISE INDIA,3
1589,PARADIZE TECH,1
1590,PARSHVA TRADING,1
1591,PARV SALES,4
1592,PARVEEN STORE,1
1593,PATANJALI SWADESHI KENDRA,1
1594,PATNA COMPUTERS PVT LTD,1
1595,PAYSTORE,1
1596,PAZZO,1
1597,PC DOCTORS,1
1598,PC.LAB,1
1599,PEAK INTERNATIONAL,1
1600,PEC Company,1
1601,PETWHOLESALEDOTIN,1
1602,PHOTO POINT DELHI,1
1603,PICKNGRAB OFFICIAL,1
1604,PINK TRADERS,1
1605,PINNACLE ELECTRONICS,3
1606,PIONEER SPORTS,3
1607,PIONEER SPORTS ONLINE,1
1608,PITZO ONLINE,1
1609,PK Fitness Yoga Mat Pvt Ltd,1
1610,PK Mobiles,1
1611,PLTyfsail,1
1612,PMP Infoservices Pvt. Ltd.,1
1613,POLESTAR-BAGS,1
1614,POOJA TRADING,1
1615,PRAGMATIC EMBD SOLUTIONS,1
1616,PRAKASH GARMENTS,1
1617,PREET HOME APPLIANCES,1
1618,PRIME CREATION,2
1619,PRINTER HUB,1
1620,PRINTERS HUB,2
1621,PRO365®,1
1622,PRODUCT GALLERY,1
1623,PRODUCTMINE  ®,2
1624,PROKLEAR®,1
1625,PROMAC,1
1626,PS Enterprises.,1
1627,PTpodsm,1
1628,PUNEET SPORTS GALLERY,1
1629,PUSHBRITE,1
1630,PYRAMID21,1
1631,Pack N Promo,1
1632,Packkart,5
1633,Pados Ki Dukaan,2
1634,Palak Agencies,1
1635,Palm Retail,3
1636,Palred Retail,1
1637,Pande General Agency,1
1638,Pankajtelevideocentre,11
1639,Paper Plane Design,1
1640,ParadiseCollection,1
1641,Paradox India,1
1642,Param Udyog,1
1643,Paras Electricals,1
1644,Parashar's Sports,1
1645,Parijata,4
1646,Partyhunters,1
1647,Patra Bhandar,1
1648,Pattam Agencies,1
1649,Pavan Retailing,1
1650,Paws for a cause,2
1651,Paykars,1
1652,PcBucket,1
1653,Pcs System,2
1654,Peach Imports,4
1655,Pearls Rays,2
1656,PeehuEnterprises,1
1657,Penz Solutions,1
1658,Perfect Online Deals,3
1659,Perfect Pricee,1
1660,Perfect Sales India,3
1661,Perfect world computer,1
1662,PerryFerric Retail,1
1663,Perusal,1
1664,Pet Hub,1
1665,Pet adda,3
1666,PetSutra,1
1667,Pets Kingdom,3
1668,Photoking Retail,1
1669,PickTheDeal,1
1670,Pilot Sports,2
1671,Pilot Sports Co.,2
1672,Planet India,1
1673,Play Panda,1
1674,Playmart India,3
1675,Plenzo,1
1676,Plus Kart SLP,1
1677,Plus Point Marketing,1
1678,Pooja Concepts,1
1679,Pooja electricals & hardwares,1
1680,Popscart,1
1681,Popular Electronics Mumbai,2
1682,Pournami Engineering Solutions,1
1683,Power fit,1
1684,Power-Fit,1
1685,PowerPak CameraZone,4
1686,Powermax Fitness India Pvt. Ltd.,1
1687,Prabha security,1
1688,Prachi Computers,1
1689,Prana Air,1
1690,Prayag enterprises,1
1691,Premier Appliances N Electricals,1
1692,Premium-Design,5
1693,Premium-X,1
1694,Presidency Cycles,1
1695,Pretty Krafts,1
1696,Prettyia IN,2
1697,Price Perfect Enterprises,1
1698,Prilin Enterprises,1
1699,Primarc Pecan Retail,2
1700,Prime Stationary,1
1701,Prime Store(ME),1
1702,Prime-Global,1
1703,Prince Enterprise India,4
1704,Prince products,3
1705,Prince-Mobile,1
1706,Printdoot Corporation,2
1707,Pritam Music Pvt. Ltd.,48
1708,Pro Active Sports,1
1709,Pro Gadget India,1
1710,Pro Smart IT Solutions,1
1711,ProAudioVideo,2
1712,Profitech Communication™,1
1713,Protech.,1
1714,Protokart,1
1715,Proton Delhi,1
1716,Proton mumbai,1
1717,Pruthvik Enterprise,1
1718,PudongIN,1
1719,Puma Sports India,1
1720,Pup Kart,3
1721,Pupkart,3
1722,Q Tech Engineering,1
1723,QFX9,1
1724,QUALITY TEAM-AMZ,1
1725,QUARTZITE™,1
1726,QUIDDITY RETAILS LLP,2
1727,Quace Solutions,1
1728,Quality Gadgets,1
1729,Quality WIth Satisfaction Shop,2
1730,Qualitymartss,1
1731,Querencia,1
1732,QuicKart (3-Strips),1
1733,Quims,2
1734,Quinze Products,1
1735,QwickDeal Online Shopping Private Limited,2
1736,R & R,1
1737,R A C H N A,1
1738,R D Retail,3
1739,R K AGENCIES.,3
1740,R N PROMOTERS,1
1741,R S TRADERS DELHI,1
1742,R k Retail,1
1743,R-shield,1
1744,R.B. Collection,1
1745,R.C. Store,3
1746,R.D. Retail,1
1747,R.K. INFOTECH  ONLINE,1
1748,R.K. INTERNATIONAL,1
1749,R.K.Computer(SAI),1
1750,R.S ENTERPRISES.,1
1751,R.S Musics,1
1752,R.S Retailer,1
1753,R.S entp,1
1754,RA Sellers,1
1755,RADIO & GRAMOPHONE HOUSE,20
1756,RADIXSYSTEMS SERVICES,1
1757,RAHUL COMPUTECH,2
1758,RAJ AUTO AGENCIES,1
1759,RAJ COSMO CARE,1
1760,RAJA BAZAAR,5
1761,RAJU COMMUNICATION.,1
1762,RAJU TOYZ,1
1763,RASCO SPORTS,2
1764,RASON SPORTS,1
1765,RATRADERS,1
1766,RAVI COMPUTER SOLUTIONS,1
1767,RAadhe,1
1768,RBt ONLINE,1
1769,RD World,1
1770,RDX MUSIC STORE,1
1771,REAL BRILLIANCE,2
1772,REAL_1 STORE,5
1773,REES52,1
1774,RELAXINDIA MARKETING PVT. LTD.,3
1775,REPL Retail,1
1776,REURJA SOLUTIONS PRIVATE LIMITED,1
1777,REYHAAN ENTERPRISES,1
1778,RG ONLINE STORE,1
1779,RH STORE,3
1780,RHIME,3
1781,RHMART™,4
1782,RHYTHMELECTRONICS,1
1783,RIANZ™,2
1784,RIDDHI IMPEX SECURITY SYSTEM,1
1785,RIGHT2CART,1
1786,RKBOOKSHOP,1
1787,RMR BRANDS,2
1788,ROCKETKART,1
1789,ROLLTOP,3
1790,RONNY SPORTS,1
1791,ROOT OF PUSHKAR RECORDS,1
1792,ROYALS AUTO SALES,1
1793,ROYALTRADERS,2
1794,ROYAL_SHOPPERS,1
1795,RPATEL®,2
1796,RPM Enterprises,1
1797,RPM store,2
1798,RR Creations,1
1799,RR's,1
1800,RREnterprise,1
1801,RRSellZ,1
1802,RS SHOPPING,1
1803,RS wholesalers,1
1804,RSFurnishing,1
1805,RUDRA COMPUTER AGENCY,2
1806,RUDRA CREATIONS INDIA,2
1807,RUSHI ENTERPRISE,1
1808,RUSTAM HANDICRAFTS,1
1809,RaJ,3
1810,Radhasoami Enterprises,1
1811,Radhey Techno Service,2
1812,Rahul Cycle Store's,2
1813,Rahul_Traders,1
1814,Raincart,2
1815,Raj Cycles Ldh,2
1816,Raj Rajeshwari computer,1
1817,"Rajasthan Handloom , Bahadurgarh",1
1818,Rama's Shop Packers,1
1819,Ramenterprise,1
1820,Ramilton India,3
1821,Rana Trader,1
1822,Rapid Mart,1
1823,RapidWorld,3
1824,Rapidora.,4
1825,Rastogi Bag House,1
1826,Ratan'S,2
1827,Ratilal Jivanlal Mistri,1
1828,Ravaana,3
1829,Ravishing Variety,2
1830,Rawat Shopping Store,6
1831,Rays Tek,1
1832,"Real Computers - Asus Exclusive Store, Pune",1
1833,Realm India,2
1834,Redonez Accessories,1
1835,Redwolf T-shirts,1
1836,Reflection men's wear,1
1837,Regor Direct,1
1838,Reliable Accessories,1
1839,Reliance Home Video & Games,12
1840,Relimart,1
1841,Retail Champ,2
1842,Retail Hub,1
1843,Retail Traders Pvt Ltd,1
1844,Rich Bells,1
1845,Rishabh trading,1
1846,Rising Sparkle,2
1847,Rite Clique,1
1848,RnR Incorporation,1
1849,RoadGods,1
1850,Robo Inventors,1
1851,Robotbanao,2
1852,Rock world,1
1853,Rockfield,1
1854,Rockingdeals,2
1855,Rohit and company,1
1856,Romaansa,2
1857,Roomstyle,1
1858,Roop Decor,1
1859,Rose Musicals instruments,1
1860,Roy Imaging,1
1861,Royal Enovations,1
1862,Royal Holdings,1
1863,Royal Instrument,3
1864,Royal shine direct,2
1865,Roziz,1
1866,Rpi Shop,1
1867,Ruchi Creatation,1
1868,Rudra Retail Store,2
1869,Rush4toys,1
1870,Ryan Overseas,1
1871,Ryka collection,1
1872,S Craze Hub,1
1873,S R BATTERY SERVICE,1
1874,S S T,1
1875,S S TRADERS HYDERABAD,1
1876,S S Technovation,1
1877,S V  ENTERPRISES,1
1878,S bags & Luggage,2
1879,S. Enterprises.,2
1880,S.AEnterprises,1
1881,S.G Musical,1
1882,S.K Homes,1
1883,S.K. Agrawal Traders,1
1884,S.K.Horn Point,1
1885,S.R.DISTRIBUTORs,1
1886,S.R.S-Luxurious Living For All,1
1887,S.S.T.Z,2
1888,S4D COM,1
1889,SAAMIYA ENTERPRISE,1
1890,SADBHAVNA,1
1891,SAFAR,1
1892,SAFETYNET1,3
1893,SAGE910,2
1894,SAH TRADERS,2
1895,SAI ENTERPRISES JAIPUR,1
1896,SALE OF POINT,1
1897,SAMEO,3
1898,SANGANESHCOMPUTERS..,1
1899,SAR ENTERPRISES 2017,1
1900,SARFUDDIN FLUTES,1
1901,SARTHAK ENTERPRISES,1
1902,SAS Stores,1
1903,SATTO MOBILE WORLD,1
1904,SATYADEVA ENTERPRISES,1
1905,SAUDAGAR,2
1906,SAVERA ENTERPRISES,1
1907,SB Agencies,1
1908,SC ONLINE,1
1909,SCOOTERS SPARES MADRAS,1
1910,SD TOP QUALITY,1
1911,SE GLOBAL,1
1912,SE International,1
1913,SEASON SALE,1
1914,SEE INSIDE,1
1915,SEEKU,1
1916,SENTHIL CHETTIYAR,1
1917,SF Live,3
1918,SG Trade Concepts,1
1919,SGL Store,1
1920,SGS GROUP,1
1921,SHANE Retailers,1
1922,SHARP HEALTH SOLUTION®,3
1923,SHAYONA CREATION,5
1924,SHILPA AGENCIES ( TEXTILE DIVISION ),1
1925,SHIV SHAKTI BAG HOUSE,1
1926,SHIV home world,3
1927,SHIVA  INDUSTRIES,1
1928,SHIVALI'S EZONE,2
1929,SHIVAM COMPUTRONICS...,1
1930,SHIVAM ELECTRONICS,1
1931,SHIVAM ENTERPRISES & SALE POINT,1
1932,SHIVAY CORPORATION,1
1933,SHOE HOME,1
1934,SHOP 24/7,1
1935,SHOPATRONES ENTERPRISES,1
1936,SHOPBOOZ™,8
1937,SHOPON-STORE,2
1938,SHOPPER STORE,3
1939,SHOPPING SHUTTLE,2
1940,SHOPPOSTREET®,1
1941,SHOPWITHCONFIDENCE,1
1942,SHOWCASE LIFE STYLE,1
1943,SHREE BUSINESS,1
1944,SHREE JI TM,1
1945,SHREE KANHA TRADERS,1
1946,SHREE KRISHNA SALES,1
1947,SHREE TRADINGS,7
1948,SHREENATH TELESHOP,1
1949,SHREESHYLA,1
1950,SHRI BALAJI.TRADERS,1
1951,SHRI SHIV ETAIL,1
1952,SHRI SHYAM CROCKERY HOUSE,1
1953,SHRIMAHAKALTRADERS(SMT),1
1954,SHRIMATE,1
1955,SHRIMATE eMART,2
1956,SHUBHAM ENTERPRISES VAC,1
1957,SIACHIN ENTERPRISES,1
1958,SINFRA,1
1959,SJT,1
1960,SKC ACCESSORIES,1
1961,SKI Group®,1
1962,SKY  INFOTECH,1
1963,SKY SCRAPERS,1
1964,SKY VENTURE,1
1965,SKrishna,1
1966,SLB  PRODUCTS,1
1967,SLB ENTERPRISE,1
1968,SLIDE COMPUTER SYSTEM,2
1969,SMN Enterprises,3
1970,SN ENTERPRISES,1
1971,SNDIA,1
1972,SOBBY Microfiber cloths and gloves,1
1973,SOFTPLAY,1
1974,SOMKALA TRADERS,1
1975,SPASonline,1
1976,SPECTRUM007,1
1977,SPEEED_SHOP,1
