,MultiLink,Packaging_Rating,ALL OVER,Price,Count,Courier_Rating,FeedBack_Rating,Product_Rating
37,Home Improvement,Rapidora.,Rapidora.,Rapidora.,Rapidora.,Rapidora.,Rapidora.,Rapidora.
38,Indian Classical,The Paper Palette,Pritam Music Pvt. Ltd.,The Paper Palette,The Paper Palette,The Paper Palette,The Paper Palette,The Paper Palette
39,Indoor Lighting,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
40,International Toy Store,Wish Cart,Wish Cart,iBhejo,Cyruss,Wish Cart,Wish Cart,Wish Cart
41,Janitorial & Sanitation Supplies,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
42,Kids' Watches,hreedhan enterprises,ESPIRE,hreedhan enterprises,hreedhan enterprises,hreedhan enterprises,hreedhan enterprises,hreedhan enterprises
43,Kitchen & Dining,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
44,Kitchen & Home Appliances,A.E.I.M CORP,Cloudtail India,Advind Healthcare,Cloudtail India,A.E.I.M CORP,A.E.I.M CORP,Trust Retail
45,Kitchen Storage & Containers,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
46,Lab & Scientific,Skyking Instruments,Skyking Instruments,Skyking Instruments,Shyam Electronics&Electricals,Skyking Instruments,Skyking Instruments,Shyam Electronics&Electricals
47,Laptops,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
48,Latest Video Games,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
49,Monitors,Aim Square,Aim Square,Aim Square,SUKLO,Aim Square,Aim Square,Aim Square
50,Motorbike Accessories & Parts,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
51,Musical Instruments & Professional Audio,S.G Musical,S.G Musical,S.G Musical,S.G Musical,TigeRetaiL_SLP,S.G Musical,S.G Musical
52,Networking Devices,Premium-Design,Premium-Design,Premium-Design,Premium-Design,Premium-Design,Premium-Design,Premium-Design
53,Nursing & Feeding,Cloudtail India,1st baby store,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
54,Office Supplies & Stationery,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
55,Printers & Ink,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd,Appario Retail Private Ltd
56,Refrigerators,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
57,Rucksacks,POLESTAR-BAGS,Chris and Kate,POLESTAR-BAGS,POLESTAR-BAGS,POLESTAR-BAGS,POLESTAR-BAGS,POLESTAR-BAGS
58,STEM Toys Store,CocoMoco Kids,Cloudtail India,CocoMoco Kids,CocoMoco Kids,CocoMoco Kids,CocoMoco Kids,CocoMoco Kids
59,School Bags,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
60,Security Cameras,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.
61,Sewing & Craft Supplies,Discount Retail,Cloudtail India,Discount Retail,Discount Retail,Discount Retail,Discount Retail,Discount Retail
62,Smart Home,Smarteefi,Cloudtail India,Smarteefi,Smarteefi,Smarteefi,Smarteefi,Smarteefi
63,Software,Arham World,Cloudtail India,Arham World,e9accessories,Arham World,Arham World,Arham World
64,Speakers,best_buyaxz,Appario Retail Private Ltd,HARIOM COMMUNICATION LLP,HARIOM COMMUNICATION LLP,best_buyaxz,best_buyaxz,Appario Retail Private Ltd
65,Sports Collectibles,GoalSquadShop,GoalSquadShop,GoalSquadShop,GoalSquadShop,GoalSquadShop,GoalSquadShop,GoalSquadShop
66,Strength Training,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
67,Strollers & Prams,The Baby world,Cloudtail India,The Baby world,The Baby world,The Baby world,The Baby world,The Baby world
68,Suitcases & Trolley Bags,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
69,Tablets,Fabimpex,Appario Retail Private Ltd,Fabimpex,Fabimpex,Fabimpex,Fabimpex,Fabimpex
70,Televisions,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
71,"Test, Measure & Inspect",Skyking Instruments,Skyking Instruments,Skyking Instruments,Skyking Instruments,Skyking Instruments,Skyking Instruments,Skyking Instruments
72,The Designer Boutique,Spicestyle Powered by SpiceJet Ltd.,Spicestyle Powered by SpiceJet Ltd.,Spicestyle Powered by SpiceJet Ltd.,Spicestyle Powered by SpiceJet Ltd.,Spicestyle Powered by SpiceJet Ltd.,Spicestyle Powered by SpiceJet Ltd.,Spicestyle Powered by SpiceJet Ltd.
73,Toys Gifting Store,Shop Your World Store,Cloudtail India,Shop Your World Store,Shop Your World Store,Shop Your World Store,Shop Your World Store,Shop Your World Store
74,Travel Accessories,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers,AlexVyan_Brothers
75,Travel Duffles,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
76,Video Games Deals,Next World Retail,GenXgAmE,Next World Retail,Next World Retail,Next World Retail,Next World Retail,Next World Retail
77,Wallets,WildHorn India,Cloudtail India,WildHorn India,WildHorn India,WildHorn India,WildHorn India,WildHorn India
78,Washing Machines,BEST HOME RETAIL,Cloudtail India,BEST HOME RETAIL,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
79,Yoga,Khel Kood,Cloudtail India,Khel Kood,Khel Kood,Khel Kood,Khel Kood,Khel Kood
