,Product,Price,Count,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL OVER
0,[Sponsored]Sony PS4 500 GB Slim Console (Free Games: Gran Turismo - Sport/Uncharted 4/Horizon Zero Dawn),BestStore2018,Infinity Games,eRetail Inc..,eRetail Inc..,eRetail Inc..,eRetail Inc..,eRetail Inc..
0,Saregama Carvaan Premium Portable Digital Music Player (Royal Blue),e9accessories,e9accessories,e9accessories,e9accessories,e9accessories,e9accessories,Kharidiye dot com
0,"Voltas 1.5 Ton 3 Star Window AC (Copper, 183 DZA, White)",BEST HOME RETAIL,TECH KLEEN,TECH KLEEN,TECH KLEEN,TECH KLEEN,TECH KLEEN,TECH KLEEN
0,"Whirlpool 190 L 3 Star Direct Cool Single Door Refrigerator(WDE 205 CLS 3S GREY-E, Grey)",Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
0,"Fleejost HD Video/Audio Hidden Recording, HD Sound Clarity Pen Camera with Memory Card Inserting Facility",TryoKart,TryoKart,TryoKart,TryoKart,TryoKart,TryoKart,FREDI HD PLUS
0,"Terabyte Mini 2.4Ghz, 500Mbps Wireless WiFi Adapter(Black)",Subho Computers,Subho Computers,Subho Computers,Subho Computers,Subho Computers,Subho Computers,HI-LITE ESSENTIALS
0,Wonderchef Nutri-Blend 400-Watt Mixer Grinder with 3 Jars (White),Trust Retail,Trust Retail,Trust Retail,Trust Retail,Trust Retail,Trust Retail,Jumbo Retails
0,"Voltas 1.5 Ton 3 Star Inverter Split AC (Copper, 183V DZU/183 VDZU2, White)",PEAK INTERNATIONAL,Popular Electronics Mumbai,Cloud6,Cloud6,Popular Electronics Mumbai,Cloud6,Cloud6
0,"Yamaha YHT-3072-IN 5.1 Home Theatre System (Dolby Audio, DTS-HD, Bluetooth, USB, 4K, 8 Inch Active Sub, Fm, HDCP 2.2)",OR CONSULTANTS,OR CONSULTANTS,OR CONSULTANTS,OR CONSULTANTS,OR CONSULTANTS,OR CONSULTANTS,GSND Prime
0,TP-Link TL-WN823N 300Mbps Mini Wireless-N USB Adapter (Black),The Style Referee,The Style Referee,The Style Referee,The Style Referee,The Style Referee,The Style Referee,Devlok Distributor
0,D3D Wireless HD Outdoor IP WiFi CCTV Outdoor Security Camera (Support Up To 128 GB Micro SD Card) Model:D8862,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.,D3D SECURITY PVT.LTD.
0,Terabyte Mini HDMI 2AV UP Scaler 1080P HD Video Converter (White,KNG NZ 83,Galaxy Sales and Marketing,HI-LITE ESSENTIALS,MV Inforways,HI-LITE ESSENTIALS,HI-LITE ESSENTIALS,HI-LITE ESSENTIALS
0,boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Active Black),Appario Retail Private Ltd,ZIP ZUP,Redonez Accessories,Redonez Accessories,Redonez Accessories,Redonez Accessories,Meera-Enterprises
