,Seller,Brand,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
0,"""SHOP 24""",Butterfly,3.5,4.35,3.3999999999999995,4.35,3.5973408708774492
1,"""SHOP 24""",Crompton,3.356666666666667,4.376666666666667,3.892666666666666,4.048666666666666,3.6111164211790197
2,"""SHOP 24""",Maharaja Whiteline,3.6,4.32,3.6000000000000005,4.32,3.671006140518501
3,"""SHOP 24""",Prestige,3.76,4.356,3.700000000000001,4.356,3.785909964469753
4,# Global Hub,Bandai,5.0,5.0,3.914285714285714,4.457142857142857,4.584888340943598
5,# Global Hub,Bose,3.977272727272727,4.759090909090909,4.197727272727272,4.605681818181818,4.300813690096856
6,# Global Hub,Canon,3.9615384615384617,4.653846153846154,3.991025641025641,4.4378205128205135,4.114009054267665
7,# Global Hub,Deep Silver,3.475,4.2675,2.7050000000000005,3.965,3.170396118078044
8,# Global Hub,Fitbit,2.92,4.264000000000001,3.564,3.742,3.1914823630593108
9,# Global Hub,Fuji,3.75,4.88125,4.406249999999999,4.88125,4.459830289219805
10,# Global Hub,Nikon,3.75,4.775,4.1000000000000005,4.775,4.268265487043221
11,# Global Hub,Samsung,2.0,3.723333333333333,3.64,2.82,2.3200460107886616
12,# Global Hub,Strontium,3.0,4.680000000000001,4.200000000000001,4.680000000000001,3.981633197779104
13,#GAME TECH,Disney,2.8,3.28,1.6999999999999997,3.28,1.906411222879976
14,'JFS',Usha,2.3547169811320754,4.231320754716981,4.0325786163522,4.057798742138364,3.2747902252572465
15,'JFS',V-Guard,1.625,4.1000000000000005,4.1000000000000005,4.1000000000000005,3.020622346019572
16,(Gadgets2use),Generic,3.0795454545454546,4.255454545454545,3.460909090909091,3.7247727272727276,3.197598453000965
17,(Gadgets2use),Generic Unbranded,3.1999999999999997,4.276666666666666,3.56,3.3799999999999994,3.1450437300628136
18,(Gadgets2use),K3,4.25,4.5875,2.7000000000000006,4.5875,3.8031737514140156
19,(Gadgets2use),TARAVISION,3.4,4.196666666666666,3.5800000000000005,3.4899999999999998,3.222359298070465
20,(SPORTO FITNESS™)*,Konex,3.1999999999999997,4.08,3.78,3.4900000000000007,3.172419909456882
