,Brand,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
0,2K Games,BEYOND TOYS AND GIFTS,4.069368690851468,BEYOND TOYS AND GIFTS,3.333333333333333,BEYOND TOYS AND GIFTS,4.1,BEYOND TOYS AND GIFTS,4.7,BEYOND TOYS AND GIFTS,4.7
1,3M,Autofurnish India,4.6478721041371465,Autofurnish India,5.0,Thanukkodi Adithya,4.066666666666666,AE INDIA,4.7200000000000015,Autofurnish India,5.0
2,A & T,Bonbury,3.2285743188155167,Bonbury,3.6,Creativemarketing,3.308333333333333,Bonbury,3.892307692307692,Bonbury,4.084615384615383
3,A C SPORTS,Sports Hub 1448,3.564106825204364,FLOWERS ENTERPRISE,3.666666666666667,Sports Hub 1448,4.12,Sports Hub 1448,3.7266666666666666,FLOWERS ENTERPRISE,4.423809523809523
4,A'la Mode Creation,Excel India Online,2.8893658872081454,Excel India Online,2.833333333333333,BabyBasics,4.3,Excel India Online,3.186666666666667,BabyBasics,4.3
5,A-DATA,Peach Imports,4.069368690851468,Kharidiye dot com,3.4,Kharidiye dot com,4.1,Peach Imports,4.7,Peach Imports,4.7
6,AADHISHA,AADHISHA,3.1886914685722827,AADHISHA,2.666666666666667,AADHISHA,4.1000000000000005,AADHISHA,3.3833333333333333,AADHISHA,4.357142857142857
7,ABS AUTO TREND,SHREE JI TM,3.611797737395344,SHREE JI TM,4.0,ABS-Tradelink,3.92,SHREE JI TM,3.95,ABS-Tradelink,4.153333333333333
8,ABYS,L. B. PRINERS,3.840579011187131,L. B. PRINERS,4.4,L. B. PRINERS,3.6,L. B. PRINERS,4.0,L. B. PRINERS,4.4
9,ACTIVISION,BEYOND TOYS AND GIFTS,4.40989923026466,TOTAL MOBILE AND GAMING,4.0,BEYOND TOYS AND GIFTS,4.222222222222223,BEYOND TOYS AND GIFTS,4.844444444444445,BEYOND TOYS AND GIFTS,4.844444444444445
10,ADISA,ADISA International,3.3202328536993413,ADISA International,3.1427432216905897,ADISA International,3.931379585326952,ADISA International,3.537061403508772,ADISA International,4.2998006379585325
11,AL FASCINO,gostuffs,3.435635246063653,gostuffs,3.125,gostuffs,4.025,gostuffs,3.575,gostuffs,4.4674999999999985
12,AM LEATHER,AM Leather,3.40189845051858,AM Leather,3.3809523809523823,AM Leather,3.8904761904761904,AM Leather,3.635714285714285,AM Leather,4.255555555555556
13,AMAZING HEALTH SOLUTION,S bags & Luggage,3.7629825979295783,S bags & Luggage,4.0,Inditradition ®,3.88,S bags & Luggage,3.916666666666667,NPI Fitness,4.5285714285714285
14,AMAZON PAY,Shoora Retail,2.885470794395563,Shoora Retail,2.230769230769231,Shoora Retail,3.369230769230769,Shoora Retail,4.0,Shoora Retail,4.0
15,AMERICAN MICRONIC,Cloudtail India,3.655834299806908,Cloudtail India,3.333333333333333,Cloudtail India,4.166666666666667,Cloudtail India,3.75,Cloudtail India,4.552380952380952
16,AMG Digital,AMG Digital Store,3.5703285222735164,AMG Digital Store,4.0,teleform,4.000000000000001,AMG Digital Store,3.733333333333334,AMG Digital Store,4.414285714285714
17,AO Smith,Galaxy Shopee,3.978975304242757,Galaxy Shopee,4.0,a to z appliances.,4.077647058823529,DEAL&OFFERS,4.166666666666667,Galaxy Shopee,4.7
18,AOC,M.P.Enterprises,3.746353756020948,M.P.Enterprises,3.625,M.P.Enterprises,3.6000000000000005,M.P.Enterprises,4.4,M.P.Enterprises,4.4
19,APACS,Triple Point Ventures,4.308351984182487,Triple Point Ventures,4.666666666666666,Triple Point Ventures,4.0,Triple Point Ventures,4.333333333333334,Triple Point Ventures,4.666666666666666
20,APPUCOCO,MAXBOOST,3.435044669581287,MAXBOOST,3.6,MAXBOOST,3.8,MAXBOOST,3.7,MAXBOOST,4.183333333333334
21,ART N HUB,Art N Hub,3.5242786154645316,Art N Hub,3.4285714285714284,Art N Hub,3.928571428571428,Art N Hub,3.678571428571429,Art N Hub,4.428571428571429
22,ASE YOGA INDIA,ABID SHARIQ ENTERPRISES,3.493351040128755,ABID SHARIQ ENTERPRISES,3.333333333333333,ABID SHARIQ ENTERPRISES,4.0,ABID SHARIQ ENTERPRISES,3.666666666666667,ABID SHARIQ ENTERPRISES,4.385714285714285
23,ASTEROID,SR ELECTRONIC,4.129471963431477,MobiNok(Brand Authorised Seller ),4.166666666666667,Asteroid India,4.133333333333334,Your Shop.,4.575,SR ELECTRONIC,4.823809523809524
24,ASkyl,Stvin®ASkyl®(OFFICIAL STORE),3.2435312985436267,Stvin®ASkyl®(OFFICIAL STORE),3.0,Stvin®ASkyl®(OFFICIAL STORE),3.95,Stvin®ASkyl®(OFFICIAL STORE),3.475,Stvin®ASkyl®(OFFICIAL STORE),4.271428571428571
25,ATC PREMIUM,Weird®Store,3.484051255929982,Weird®Store,3.4285714285714284,Weird®Store,3.94,Weird®Store,3.684285714285714,Weird®Store,4.325714285714286
26,AURION,TrishaEnterprises,3.966251785566294,TrishaEnterprises,3.5,TrishaEnterprises,4.46,TrishaEnterprises,3.98,TrishaEnterprises,4.708571428571429
27,AUXTER,Ambika Gems and Diamond,4.0998723989676025,Ambika Gems and Diamond,4.75,AUXTER,3.7587121212121217,Ambika Gems and Diamond,4.1,Ambika Gems and Diamond,4.75
28,AVM,Durga234,4.238295956671192,Durga234,4.666666666666667,HARI HARA ENTERPRISES,4.075,Durga234,4.266666666666667,Cloudtail India,4.6952380952380945
29,AVS STORE,avsstore,3.2939374945031785,avsstore,3.6140350877192975,avsstore,3.219122807017544,avsstore,3.7797368421052635,avsstore,4.218245614035088
30,AVS STORE®,avsstore,2.967438498139304,avsstore,2.9102564102564106,avsstore,3.2217948717948723,avsstore,3.5967948717948723,avsstore,4.152564102564103
31,Aai,RaJ,3.999056311229503,RaJ,4.5,That one place,3.9666666666666663,RaJ,4.041666666666667,RaJ,4.6571428571428575
32,Aamir Khan,RADIO & GRAMOPHONE HOUSE,4.567415506845638,RADIO & GRAMOPHONE HOUSE,4.857142857142857,ROOT OF PUSHKAR RECORDS,4.25,RADIO & GRAMOPHONE HOUSE,4.499999999999999,Pritam Music Pvt. Ltd.,4.914285714285714
33,Accezory,Cloudtail India,4.130521630007868,Cloudtail India,4.357333333333333,golden dreams,4.23125,Cloudtail India,4.1648000000000005,Cloudtail India,4.658933333333334
34,Acer,TPS Technologies,4.187021648634791,The Computer Mart,4.333333333333333,Apna Deal,4.285714285714286,TPS Technologies,4.75,TPS Technologies,4.75
35,Acorn,ACORNSPORT,3.534105343293563,FLOWERS ENTERPRISE,3.571428571428572,ACORNSPORT,3.9,ACORNSPORT,3.65,ACORNSPORT,4.516666666666667
36,Activa,SHOP 24/7,3.8512369189514213,SHOP 24/7,3.3596491228070176,SHOP 24/7,4.174561403508773,SHOP 24/7,4.082894736842103,SHOP 24/7,4.674561403508774
37,Adcom,Adcom India,3.0721159208618483,Adcom India,3.0,Adcom India,3.1,Adcom India,4.033333333333333,Adcom India,4.033333333333333
38,Advind Healthcare,Advind Healthcare,4.281142656831848,Advind Healthcare,3.71875,Advind Healthcare,4.3125,Advind Healthcare,4.578125,Advind Healthcare,4.84375
39,Aftab,fakhir associates,2.8569016210172187,fakhir associates,2.8000000000000003,fakhir associates,3.7,fakhir associates,3.25,aftab alam handloom,4.069047619047619
40,Ahmedabad Cotton,GSDECOR,4.0353143676062535,GSDECOR,4.0,RR Creations,4.250000000000001,GSDECOR,4.075,AhmedabadCotton,4.6625
41,AirCase,iStuff365,4.191461727624777,iStuff365,3.333333333333333,Appario Retail Private Ltd,4.3,iStuff365,4.766666666666667,iStuff365,4.766666666666667
42,Airmaker,AIRMAKER Foot Pump®,4.128773728200975,AIRMAKER Foot Pump®,4.333333333333333,AIRMAKER Foot Pump®,3.916666666666667,AIRMAKER Foot Pump®,4.125,AIRMAKER Foot Pump®,4.747619047619048
43,Airtel,SAB KA SOLUTION ONLINE,4.474825226140932,SAB KA SOLUTION ONLINE,4.285714285714286,E-Shoptronix,4.0,SAB KA SOLUTION ONLINE,4.857142857142857,SAB KA SOLUTION ONLINE,4.857142857142857
44,Ajay Devgan,Pritam Music Pvt. Ltd.,3.4339588414396287,Pritam Music Pvt. Ltd.,3.666666666666667,Pritam Music Pvt. Ltd.,3.6,Pritam Music Pvt. Ltd.,3.633333333333333,Pritam Music Pvt. Ltd.,4.338095238095238
45,Akshar Chem,Rotz®,3.898341044357317,Rotz®,2.8571428571428568,AKSHAR EXIM CO. PVT. LTD,4.3,Rotz®,4.6000000000000005,Rotz®,4.6000000000000005
46,Akshay Kumar,shopping24x7,4.305105779095482,shopping24x7,4.166666666666667,shopping24x7,4.483333333333333,shopping24x7,4.325,Reliance Home Video & Games,4.857142857142857
47,Alden Ehrenreich,Music&more,3.769486240219164,Music&more,4.0,The Paper Palette,4.2727272727272725,Music&more,3.85,Music&more,4.584615384615383
48,Alexvyan,AlexVyan_Brothers,2.936128841648834,AlexVyan_Brothers,2.4097222222222223,AlexVyan_Brothers,3.9534722222222216,AlexVyan_Brothers,3.1815972222222224,AlexVyan_Brothers,4.261805555555556
49,Alfisha,alfisha,2.7280991757864843,alfisha,2.6666666666666665,alfisha,3.7,alfisha,3.1833333333333336,alfisha,3.8
50,Alia Bhatt,RADIO & GRAMOPHONE HOUSE,4.018325050347077,RADIO & GRAMOPHONE HOUSE,4.142857142857143,Pritam Music Pvt. Ltd.,4.2,RADIO & GRAMOPHONE HOUSE,4.063095238095238,RADIO & GRAMOPHONE HOUSE,4.642857142857143
51,Alice,A B MUSICAL STORES & ACCESSORIES,4.463589392984546,A B MUSICAL STORES & ACCESSORIES,4.166666666666667,A B MUSICAL STORES & ACCESSORIES,4.1000000000000005,A B MUSICAL STORES & ACCESSORIES,4.8500000000000005,A B MUSICAL STORES & ACCESSORIES,4.8500000000000005
52,Alicia Souza,Futurewagon Private Limited,4.0817964090686845,Futurewagon Private Limited,1.6666666666666667,Futurewagon Private Limited,5.0,Futurewagon Private Limited,5.0,Futurewagon Private Limited,5.0
53,Allin Exporters,Bazzar 4 Deals,3.3947913569677226,Bazzar 4 Deals,3.0686868686868687,Bazzar 4 Deals,3.936863226863228,Bazzar 4 Deals,3.6270993720993734,Bazzar 4 Deals,4.436863226863227
54,Allxpert,Brands at Discount,4.162859920358986,Brands at Discount,4.833333333333334,24X7 SHOPPING ONLINE,3.7,Brands at Discount,4.125,Brands at Discount,4.833333333333334
55,Amazon,4 U Marketing,4.041929364043033,4 U Marketing,4.066666666666666,HARIOM COMMUNICATION LLP,3.7939999999999996,4 U Marketing,4.383333333333334,4 U Marketing,4.6866666666666665
56,Amazon Pay,QwikCilver Solutions Pvt. Ltd,3.6774928651665055,QwikCilver Solutions Pvt. Ltd,2.7934782608695654,QwikCilver Solutions Pvt. Ltd,4.190217391304347,Shoora Retail,4.444230769230769,Shoora Retail,4.444230769230769
57,AmazonBasics,Cloudtail India,3.4395461072518017,Cloudtail India,3.1297963558413717,Cloudtail India,3.9145819935691293,Cloudtail India,3.7752438370846697,Cloudtail India,4.380932475884242
58,Ambi Pur,amit car accessories aurangabad,4.098183901648602,amit car accessories aurangabad,4.666666666666667,India Trading Company,4.04,amit car accessories aurangabad,4.133333333333334,amit car accessories aurangabad,4.666666666666667
59,Ambrane,coverReady,4.630358097259324,coverReady,5.0,Appario Retail Private Ltd,4.266666666666667,coverReady,4.5,coverReady,5.0
60,American Tourister,Gulati marketing Corporation,4.127474320630768,BoxWish,4.333333333333333,Deemanth Bags,4.3,BoxWish,4.175,Gulati marketing Corporation,4.79375
61,Amitabh Bachchan,World Motion,4.426436737674697,World Motion,4.845238095238095,Calypso,4.428571428571429,World Motion,4.370833333333334,World Motion,4.845238095238095
62,Amitabh Bachhan,shopping24x7,3.844303205365919,shopping24x7,4.0,JnY Entertainment,4.1000000000000005,shopping24x7,3.9277777777777785,shopping24x7,4.569230769230769
63,Amjad Ali Khan,Pritam Music Pvt. Ltd.,3.5265518590239835,The Paper Palette,3.6,Pritam Music Pvt. Ltd.,3.957142857142857,Pritam Music Pvt. Ltd.,3.55,Pritam Music Pvt. Ltd.,4.728571428571429
64,Amkette,Game X,4.112307766389059,Game X,4.319444444444445,Game X,3.793055555555556,Game X,4.31875,Game X,4.644444444444446
65,Amy Poehler,Music&more,3.455526487522569,Music&more,3.25,The Paper Palette,4.214285714285714,Pritam Music Pvt. Ltd.,3.6375,The Paper Palette,4.542857142857144
66,Angelina Jolie,Smart Buy Movies,3.998713421664711,Music&more,4.2,Smart Buy Movies,4.0,Smart Buy Movies,4.083333333333334,Smart Buy Movies,4.552380952380952
67,Anker,Flash Distribution,3.742193321827342,Flash Distribution,3.666666666666667,GadgetsAccessories™,4.083333333333333,Flash Distribution,3.8166666666666655,Flash Distribution,4.595238095238095
68,Ant Audio,Appario Retail Private Ltd,4.138834473054732,Appario Retail Private Ltd,4.0,Appario Retail Private Ltd,4.216666666666667,Appario Retail Private Ltd,4.108333333333333,Appario Retail Private Ltd,4.802380952380952
69,Antony Starr,Excel Innovators,3.603038411243527,Excel Innovators,3.8571428571428568,Excel Innovators,3.6571428571428575,Excel Innovators,3.7571428571428567,Excel Innovators,4.428571428571429
70,Anycast,mayur    traders,3.4074768537256612,MR. TRUMP (100% QUALITY PRODUCTS)™,3.8333333333333335,Nakul traders electronics zone,2.9,mayur    traders,4.4,mayur    traders,4.4
71,ApTechDeals,ApTechDeals®,3.2552554760218135,ApTechDeals®,3.0,ApTechDeals®,3.4,ApTechDeals®,4.133333333333334,ApTechDeals®,4.133333333333334
72,Apple,Appario Retail Private Ltd,3.6066053224635977,Appario Retail Private Ltd,2.8521739130434782,Appario Retail Private Ltd,4.103478260869566,Appario Retail Private Ltd,4.258260869565216,Appario Retail Private Ltd,4.394782608695651
73,Apsara,DTL Company,4.311979144681821,DTL Company,4.208333333333333,Gsm DUMANHILL ®,4.393750000000002,DTL Company,4.509375,DTL Company,4.708333333333333
74,AraNxt,Lakshita Shop!!,3.882265794011285,DreamKraft™,4.333333333333333,Lakshita Shop!!,4.079999999999999,DreamKraft™,4.0,Lakshita Shop!!,4.582857142857144
75,Aristocrat,GoTo Style Mart,3.869911826791802,GoTo Style Mart,3.8571428571428568,GoTo Style Mart,4.042857142857144,GoTo Style Mart,3.9499999999999993,GoTo Style Mart,4.571428571428571
76,Arlo Technologies,Cart2India Online,2.397141457744161,Cart2India Online,1.4285714285714286,Cart2India Online,4.042857142857144,Cart2India Online,2.7357142857142858,Cart2India Online,4.085714285714286
77,Artis,Appario Retail Private Ltd,3.661784887725392,Appario Retail Private Ltd,3.3076923076923075,Artis Store,3.7119999999999993,Appario Retail Private Ltd,4.384615384615385,Appario Retail Private Ltd,4.384615384615385
78,Aruna Sairam,Amutham Music Private Limited,3.3750919751420905,Amutham Music Private Limited,3.4285714285714284,Amutham Music Private Limited,3.683333333333333,Amutham Music Private Limited,3.5559523809523808,Amutham Music Private Limited,4.383333333333334
79,Asitis Nutrition,My Nutra Mart,3.722809907298157,My Nutra Mart,3.7142857142857135,My Nutra Mart,3.8666666666666663,My Nutra Mart,3.790476190476191,My Nutra Mart,4.614285714285714
80,Assembled Desktop,SSD Enterprisess,4.135390539958762,ONLINESURYAA,4.0,Nallu Infotech,3.81,SSD Enterprisess,4.7200000000000015,SSD Enterprisess,4.7200000000000015
81,Asus,Online IT World,4.528800622756009,Online IT World,4.857142857142857,CHETANYA ONLINE BUSSINESS,4.324999999999998,r.s.enterprise123,4.5200000000000005,Online IT World,4.871428571428573
82,Aurodo,AURODO,2.3020748115194483,AURODO,2.142857142857143,AURODO,3.4285714285714284,AURODO,2.7857142857142856,AURODO,3.7714285714285714
83,Authtentic,INDIAS HEART,3.518195676407661,DEALSWORTH,3.5416666666666665,INDIAS HEART,3.8380952380952382,DEALSWORTH,4.008333333333334,INDIAS HEART,4.423809523809523
84,AutoTrends,Oero Pvt ltd,4.266255464306928,KGL Trading,5.0,Rawat Shopping Store,3.97,Oero Pvt ltd,4.258333333333334,KGL Trading,5.0
85,Autofurnish,Autofurnish India,3.3328749469809864,Autofurnish India,3.6,Cloudtail India,3.68,Autofurnish India,3.56,Autofurnish India,4.283333333333334
86,Autofy,Cloudtail India,3.512066149804907,Cloudtail India,3.646666666666666,YDV enterprises,4.04,Cloudtail India,3.682083333333333,Cloudtail India,4.397499999999999
87,Autopearl,FabSeasons,3.716275234960386,FabSeasons,4.0,Favourite BikerZ,4.083333333333333,FabSeasons,3.8416666666666655,Favourite BikerZ,4.6119047619047615
88,Autosol,Cloudtail India,4.038615482304106,Cloudtail India,3.615384615384616,Kiron,4.116363636363637,Cloudtail India,4.440384615384615,Cloudtail India,4.815384615384615
89,Autosun,24X7 SHOPPING ONLINE,3.4285888665237074,24X7 SHOPPING ONLINE,3.833333333333333,24X7 SHOPPING ONLINE,3.4666666666666663,24X7 SHOPPING ONLINE,3.65,24X7 SHOPPING ONLINE,4.2904761904761894
90,Autowizard,ogre,4.097471272662121,ogre,4.2,ogre,4.2,ogre,4.2,ogre,4.5
91,Aveeno,Shrinika baby house,4.4430840304041705,Shrinika baby house,4.833333333333334,BABY N TOYYS™,4.16,Shrinika baby house,4.391666666666667,Shrinika baby house,4.833333333333334
92,Axxeum,AXXEUM,3.916793914986593,AXXEUM,3.25,AXXEUM,4.1,AXXEUM,4.55,AXXEUM,4.55
93,Ayushmann Khurrana,RADIO & GRAMOPHONE HOUSE,4.134543065534634,JnY Entertainment,4.384615384615385,RADIO & GRAMOPHONE HOUSE,4.173205741626794,RADIO & GRAMOPHONE HOUSE,4.1751196172248815,JnY Entertainment,4.6631868131868135
94,BEE,Music Tycoons,3.2553379047869773,Music Tycoons,3.26,Music Tycoons,3.6180000000000003,Music Tycoons,3.7015,Music Tycoons,4.16
95,BIPM,VSS Inc,4.2574984608680175,VSS Inc,4.75,Wish Master,4.1,VSS Inc,4.25,VSS Inc,4.75
96,BLACK+DECKER,dealerkart,4.035648654919095,dealerkart,4.0,dealerkart,3.4,dealerkart,4.68,dealerkart,4.68
97,BODYGRIP,Cloudtail India,3.10647168649748,Cloudtail India,3.166666666666667,Cloudtail India,3.675,Cloudtail India,3.4208333333333334,Cloudtail India,4.096428571428572
98,BOGESI,Bhavans Enterprises,3.7611310466416286,Bhavans Enterprises,3.7916666666666665,Toywale,4.1,Bhavans Enterprises,3.872916666666667,Bhavans Enterprises,4.508333333333333
99,BPL,Cloudtail India,3.359078619829428,Cloudtail India,3.04320987654321,Cloudtail India,3.811111111111111,Cloudtail India,3.834567901234568,Cloudtail India,4.288888888888889
100,BRANDONN,Brandonn Fashions,3.0619722414072252,Brandonn Fashions,2.6947368421052635,Brandonn Fashions,3.9368421052631577,Brandonn Fashions,3.31578947368421,Brandonn Fashions,4.233684210526317
101,Baby Bucket,Baby Bucket,3.443060682689394,Baby Bucket,3.214673913043478,Meili,3.983333333333333,Baby Bucket,3.5963224637681166,Baby Bucket,4.435942028985507
102,Baby Dove,Cloudtail India,4.100818234335188,Cloudtail India,3.8,Cloudtail India,4.4,Cloudtail India,4.1000000000000005,Cloudtail India,4.733333333333333
103,BabyGo,Cloudtail India,3.7418839945542497,Cloudtail India,3.616666666666666,Cloudtail India,4.116666666666666,Cloudtail India,3.866666666666666,Cloudtail India,4.476666666666667
104,Backpack,Innovegic Mart,4.199271048710288,ATZ Retail,4.2,Innovegic Mart,4.119999999999999,Innovegic Mart,4.160000000000001,Innovegic Mart,4.82
105,BagsRUs,Bags-R-Us,4.179340414542485,Bags-R-Us,4.6000000000000005,Cloudtail India,4.1000000000000005,Bags-R-Us,4.21,Bags-R-Us,4.666666666666667
106,Baijnath Premnath,Baijnath Premnath,3.570380755465843,Baijnath Premnath,3.4375,Baijnath Premnath,3.59375,Baijnath Premnath,4.071875,Baijnath Premnath,4.43125
107,Bajaj,ABR Trading Co,4.534358080117429,N K Gupta & Co.,5.0,ABR Trading Co,4.4,ABR Trading Co,4.88,N K Gupta & Co.,5.0
108,Bandai,# Global Hub,4.5853220795734915,# Global Hub,5.0,MyGameShop Kolkata,4.35,# Global Hub,4.457142857142856,# Global Hub,5.0
109,Batman,Bioworld,3.974835693390468,Bioworld,3.611111111111111,Bioworld,3.9444444444444446,Bioworld,4.333333333333333,Bioworld,4.722222222222221
110,Behringer,Ambience eCom,4.06202126719108,Khem singh enterprises,3.5735294117647056,Meera-Enterprises,4.086666666666667,Ambience eCom,4.666666666666667,Ambience eCom,4.666666666666667
111,Belkin,Krishna Computers indore,4.071877460546472,Krishna Computers indore,4.2,RRSellZ,4.28,Krishna Computers indore,4.14,best_buyaxz,4.685714285714285
112,BenQ,FastDealsIndia,4.433770707103284,FastDealsIndia,4.090909090909091,The Style Referee,4.3,FastDealsIndia,4.836363636363637,FastDealsIndia,4.836363636363637
113,Bethesda,GamesPlanetImpex,4.383487805915342,GamesPlanetImpex,4.0,Amazing Dreams,4.4,GAME STOP,4.7,GAME STOP,4.7
114,Better & Brighter Homecare,BBHCPL,3.2061602501464725,BBHCPL,2.8,BBHCPL,3.970769230769231,BBHCPL,3.3853846153846163,BBHCPL,4.3938461538461535
115,Bey Bee,Kharesiya Group,3.791439720698248,Kharesiya Group,3.8152777777777787,Kharesiya Group,3.9777083333333336,Kharesiya Group,3.8964930555555553,Kharesiya Group,4.521111111111113
116,Bhimsen Joshi,Pankajtelevideocentre,3.2179219852863694,Pankajtelevideocentre,3.333333333333333,Pankajtelevideocentre,3.62,Pankajtelevideocentre,3.4766666666666666,Pankajtelevideocentre,4.217142857142857
117,Bianyo,Stat&AR,3.9374735963990766,Stat&AR,3.863636363636364,Saiyanshi,4.241666666666666,Stat&AR,4.287121212121212,Stat&AR,4.536363636363637
118,Bigsavings,Prime-Global,4.299237553475138,Prime-Global,4.236363636363636,Prime-Global,4.121818181818181,Prime-Global,4.492727272727274,Prime-Global,4.727272727272728
119,Bikestuff,AANCHAL INTERNATIONAL - Genxtra®,4.258830643693779,AANCHAL INTERNATIONAL - Genxtra®,4.6000000000000005,24X7 SHOPPING ONLINE,4.016666666666667,AANCHAL INTERNATIONAL - Genxtra®,4.25,Online BGA,4.757142857142857
120,Biotique,BEAUTY WARE HOUSE,4.416137621159832,BEAUTY WARE HOUSE,4.8,Naughty Cosmo,4.1,BEAUTY WARE HOUSE,4.38,BEAUTY WARE HOUSE,4.8
121,BitDefender,Arham World,3.5982912939574248,Arham World,3.230392156862745,Arham World,3.9264705882352944,Arham World,3.934313725490195,Arham World,4.515686274509804
122,Bizarre Vogue,PRAKASH GARMENTS,3.6600223264915503,PRAKASH GARMENTS,3.333333333333333,PRAKASH GARMENTS,4.25,PRAKASH GARMENTS,3.791666666666667,PRAKASH GARMENTS,4.464285714285714
123,Bk,A-Sky Retails,3.64220106833784,A-Sky Retails,3.5,A-Sky Retails,4.15,A-Sky Retails,3.825,A-Sky Retails,4.35
124,Blackt Electrotech,B patel and brothers,3.886229135691502,Blackt Electrotech,3.613672496025437,Blackt Electrotech,3.8718600953895055,B patel and brothers,4.6000000000000005,B patel and brothers,4.6000000000000005
125,Blossoms,market king,3.8095370548708654,market king,4.033333333333333,HOUSE OF QUIRK,3.771428571428572,Prime World,4.4,market king,4.408333333333333
126,Blue Star,Voltas shoppe,3.2100177373975525,Voltas shoppe,3.0,Voltas shoppe,3.3055555555555562,Voltas shoppe,4.116666666666667,Voltas shoppe,4.116666666666667
127,BlueRigger,BlueRigger India,3.7523344209600435,BlueRigger India,3.0,BlueRigger India,4.340000000000002,BlueRigger India,4.0950000000000015,BlueRigger India,4.58
128,Blueair,ModernStores2017,4.018874447046514,Meenu Surgicals,3.8333333333333335,AUDIO VOICE INDIA PRIVATE LIMITED,3.9,ModernStores2017,4.633333333333333,ModernStores2017,4.633333333333333
129,"Bluehole, Inc./SIEE",CPSTORE,4.134050053112649,CPSTORE,4.166666666666667,Amazing Dreams,3.4,CPSTORE,4.733333333333333,CPSTORE,4.733333333333333
130,Blufury,DB & CO.,3.4016552607337465,DB & CO.,3.0,DB & CO.,3.8,DB & CO.,4.15,DB & CO.,4.15
131,Bmax,Rapidora.,4.031874400612113,Rapidora.,4.428571428571429,DELIGHT SALES,4.0,Rapidora.,3.9928571428571433,Rapidora.,4.842857142857143
132,Boat,best_buyaxz,4.145038447456677,best_buyaxz,4.0144927536231885,Electric-Deals,4.4,COLORTRADES,4.666666666666667,best_buyaxz,4.720289855072463
133,Bobo,Colorpur,3.7701019667562847,Colorpur,3.833333333333333,Colorpur,3.9333333333333336,Colorpur,3.883333333333333,Colorpur,4.504761904761905
134,BodyBand,Jungleaid,4.476484443432597,Jungleaid,4.666666666666666,Jungleaid,4.283333333333333,Jungleaid,4.475,Jungleaid,4.70952380952381
135,BodyFit,BodyFit Gym,3.677260069373745,BodyFit Gym,3.853448275862069,BodyFit Gym,3.7334587251828633,BodyFit Gym,3.793453500522465,BodyFit Gym,4.5087356321839085
136,Bombay S.Jayashri,Inreco,2.455440225563207,Inreco,2.2,Inreco,3.56,Inreco,2.8800000000000003,Inreco,3.893333333333333
137,BookMyShow,Stellr India,3.377348512795123,Stellr India,3.0,Stellr India,3.6,Stellr India,4.2,Stellr India,4.2
138,Borosil,Novelty Smart Kitchen,4.420190014725437,Novelty Smart Kitchen,5.0,Cloudtail India,4.1000000000000005,Novelty Smart Kitchen,4.3,Novelty Smart Kitchen,5.0
139,Bosch,Apex Retail,4.484487137597597,Apex Retail,4.0,Apex Retail,4.3,Apex Retail,4.86,Apex Retail,4.86
140,Bose,# Global Hub,4.339460665313541,# Global Hub,4.21875,# Global Hub,4.159375,# Global Hub,4.5453125000000005,# Global Hub,4.75625
141,Boult Audio,Appario Retail Private Ltd,3.3100413109059037,Appario Retail Private Ltd,2.25,Appario Retail Private Ltd,4.0,Appario Retail Private Ltd,4.25,Appario Retail Private Ltd,4.25
142,Boya,Roy Imaging,4.34431553466551,Pro Gadget India,4.8,iphotostore,4.19923076923077,Roy Imaging,4.5699999999999985,Pro Gadget India,4.8
143,BreatheFresh,Breathe Fresh,3.0323836438230107,Breathe Fresh,2.0,Breathe Fresh,3.7000000000000006,Breathe Fresh,4.133333333333333,Breathe Fresh,4.133333333333333
144,Brother,ShopForBest,4.160879396181989,ShopForBest,4.333333333333333,NAHAR ENTERPRISES.,4.4,Galaxy Digital 11,4.725,ShopForBest,4.819047619047619
145,Bufferman,Rhythm Divine,4.188194876786065,CHENNAIMUSICALS,4.0,HSInternet,4.2057142857142855,Rhythm Divine,4.625,HSInternet,4.642857142857143
146,Bulfyss,Bulfyss® - What You See Is What You Get,2.9661365663387285,Bulfyss® - What You See Is What You Get,2.628142076502732,Bulfyss® - What You See Is What You Get,3.7625956284153013,Bulfyss® - What You See Is What You Get,3.4511065573770505,Bulfyss® - What You See Is What You Get,4.079535519125684
147,Burnlab,Burnlab,3.9962657925234235,Burnlab,4.333333333333333,Burnlab,3.9333333333333336,Burnlab,4.133333333333334,Burnlab,4.433333333333334
148,Butterfly,"""SHOP 24""",3.5979558680364625,"""SHOP 24""",3.5,"""SHOP 24""",3.4,"""SHOP 24""",4.35,"""SHOP 24""",4.35
149,CABLEGALLERY,CABLE GALLERY,2.7161060598769127,CABLE GALLERY,2.725,CABLE GALLERY,3.2,CABLE GALLERY,3.4375,CABLE GALLERY,3.88
150,CAM 360,Universal Store Shopping,4.26974324061062,SAFETYNET1,3.296442687747035,Universal Store Shopping,5.0,Universal Store Shopping,5.0,Universal Store Shopping,5.0
