,Brand,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
1007,Various,Pankajtelevideocentre,3.920144241575064,RADIO & GRAMOPHONE HOUSE,4.333333333333333,Pritam Music Pvt. Ltd.,4.1000000000000005,Pankajtelevideocentre,3.9568181818181816,Pankajtelevideocentre,4.668181818181818
1008,Various Artists,Pritam Music Pvt. Ltd.,3.6911731629535036,Pritam Music Pvt. Ltd.,4.0,Pankajtelevideocentre,3.8,Pritam Music Pvt. Ltd.,3.830000000000001,Pritam Music Pvt. Ltd.,4.457142857142856
1009,Vector X,Janjua Sports,3.8932427462768335,Janjua Sports,4.0,Pilot Sports,4.125,Janjua Sports,3.942857142857143,Janjua Sports,4.642857142857143
1010,Vectora,SHOPPER STORE,3.849267921156272,Sale Bucks,4.5,R S TRADERS DELHI,4.24,SHOPPER STORE,4.008333333333334,Quims,4.63
1011,Vega,gupta helmets,3.5745628148827198,Shree Nakoda Auto Parts,3.436363636363636,gupta helmets,3.914285714285714,gupta helmets,3.6714285714285713,gupta helmets,4.557142857142859
1012,Vicky,The Reasonable Price Products Store,4.577816076625852,The Reasonable Price Products Store,5.0,Bracedeal,4.05,The Reasonable Price Products Store,4.45,The Reasonable Price Products Store,5.0
1013,Vikas gift gallery,AmazHub,3.1258577156871437,AmazHub,3.215686274509804,VIKAS GIFT GALLERY,3.34875,AmazHub,3.6186274509803926,AmazHub,4.198039215686273
1014,Vintage,Sk Noor Enterprises,3.6770526203685967,Haiko,3.833333333333333,Sk Noor Enterprises,4.333333333333333,Sk Noor Enterprises,3.8333333333333335,SHRI BALAJI.TRADERS,4.542857142857144
1015,Virtual World,PYRAMID21,2.611094621154795,PYRAMID21,2.1666666666666665,PYRAMID21,3.7,PYRAMID21,2.9333333333333336,PYRAMID21,4.114285714285715
1016,Vivek Oberoi,World Motion,2.9295494921492478,World Motion,2.2,World Motion,4.2,World Motion,3.2,World Motion,4.2
1017,Voltas,Cloud6,4.416813020087433,Cloud6,4.833333333333334,Popular Electronics Mumbai,4.125,Cloud6,4.366666666666667,Cloud6,4.833333333333334
1018,Voxpop,Bioworld,3.515317653119622,Bioworld,3.5154228855721383,Bioworld,3.7341791044776103,Bioworld,3.7591293532338304,Bioworld,4.4199004975124385
1019,WASAN,WASAN EXPORTS,3.422804033582332,WASAN EXPORTS,3.375,WASAN EXPORTS,3.8375,WASAN EXPORTS,3.6062500000000006,WASAN EXPORTS,4.370833333333334
1020,WB Games,Cloudtail India,2.840462652697279,Cloudtail India,2.730769230769231,Cloudtail India,3.5294871794871794,Cloudtail India,3.130128205128206,Cloudtail India,4.175641025641027
1021,WELROCK,WELROCK,2.9877052223695326,WELROCK,2.68,WELROCK,3.56,WELROCK,3.5200000000000005,WELROCK,4.1800000000000015
1022,WHITE POPCORN SPEED,WHITE POPCORN 🍿,2.406584803623393,WHITE POPCORN 🍿,1.6,WHITE POPCORN 🍿,3.92,WHITE POPCORN 🍿,2.76,WHITE POPCORN 🍿,4.053333333333334
1023,WILDEDGE,BDS297,4.323175986659856,BDS297,4.75,Weber Enterprises,4.1,BDS297,4.3125,BDS297,4.75
1024,WINDEK,WS MART,3.9834495451738685,WS MART,4.0,WORLD PLAZA,4.079999999999999,WS MART,3.99,WS MART,4.733333333333333
1025,WINTECH,SS Cycle,4.2135141458616205,SS Cycle,4.333333333333333,M.R. ENGINEERING,4.193589743589744,SS Cycle,4.133333333333334,SS Cycle,4.916666666666667
1026,WOBBOX,Cloudtail India,3.3727300100926065,Cloudtail India,3.145454545454545,Cloudtail India,3.933838383838385,Cloudtail India,3.5396464646464647,Cloudtail India,4.410606060606059
1027,WOODY,CW96,3.8231031971099383,CW96,4.0,Aaina Enterprises,3.8,CW96,3.875,CW96,4.6454545454545455
1028,WRIGHT,Wright Sense,3.5307261773414504,Wright Sense,2.9,Wright Sense,4.199999999999998,Wright Sense,3.983333333333333,Wright Sense,4.358333333333333
1029,Warner Bros.,BEYOND TOYS AND GIFTS,3.617737640279307,NAMO DIGITAL INDIA,3.8571428571428568,BEYOND TOYS AND GIFTS,2.9,BEYOND TOYS AND GIFTS,4.475,BEYOND TOYS AND GIFTS,4.475
1030,Waxpol,Cloudtail India,2.830531030936217,Cloudtail India,2.5,Cloudtail India,3.9333333333333336,Cloudtail India,3.2166666666666663,Cloudtail India,3.9466666666666663
1031,Wayona,Appario Retail Private Ltd,3.037238726363221,Wayona,2.631060606060606,Appario Retail Private Ltd,3.7301388888888884,Appario Retail Private Ltd,3.607430555555556,Appario Retail Private Ltd,4.1426388888888885
1032,Webby,Cloudtail India,3.770033873286513,Cloudtail India,3.6,Cloudtail India,4.166666666666667,Cloudtail India,3.883333333333333,Cloudtail India,4.500000000000001
1033,Welcare,WELCARE INDIA,3.881301472238956,WELCARE INDIA,4.142857142857143,WELCARE INDIA,3.7714285714285714,WELCARE INDIA,3.957142857142857,WELCARE INDIA,4.585714285714286
1034,Wellon,WELLON OFFICIAL STORE,3.429012708611857,WELLON OFFICIAL STORE,3.2777777777777777,WELLON OFFICIAL STORE,3.8,WELLON OFFICIAL STORE,3.816666666666667,WELLON OFFICIAL STORE,4.300000000000002
1035,WensLTD,Indeals,2.948112443426844,Indeals,2.333333333333333,Indeals,4.016666666666667,Indeals,3.1750000000000003,Indeals,4.302380952380951
1036,Western Digital,Krishna Computers indore,4.534204965814238,MyTechVision,4.8,Per Day Deal,4.6000000000000005,Krishna Computers indore,4.875,Krishna Computers indore,4.875
