,Product,Best_Seller_ALL_OVER,Best_Seller_ALL_OVER_Rating,Best_Seller_FeedBack_Rating,Best_Seller_FeedBack_Rating_Rating,Best_Seller_Product_Rating,Best_Seller_Product_Rating_Rating,Best_Seller_Packaging_Rating,Best_Seller_Packaging_Rating_Rating,Best_Seller_Courier_Rating,Best_Seller_Courier_Rating_Rating
24,(CERTIFIED REFURBISHED) Speedo Unisex-Adult Aquapulse Max 2 Goggles,Cloudtail.,3.483882115758991,Cloudtail.,3.166666666666667,Cloudtail.,4.116666666666667,Cloudtail.,3.6416666666666666,Cloudtail.,4.430952380952381
25,(CERTIFIED REFURBISHED) Speedo Unisex-Adult Aquapure Goggles,Cloudtail.,4.520434090990038,Cloudtail.,5.0,Cloudtail.,3.8,Cloudtail.,4.4,Cloudtail.,5.0
26,(CERTIFIED REFURBISHED) Tefal Easygliss 2200-Watt Steam Iron (Green),Cloudtail.,2.9873935494354624,Cloudtail.,2.58,Cloudtail.,3.903,Cloudtail.,3.2415,Cloudtail.,4.253
27,(CERTIFIED REFURBISHED) Usha Colt Plus MG 3772 750-Watt Copper Motor Mixer Grinder with 3 Jars (White/Blue),India INC.,4.390925382094462,India INC.,4.8,India INC.,3.92,India INC.,4.36,India INC.,4.8
28,(CERTIFIED REFURBISHED) Usha Maxx Air Comfy 400mm Pedestal Fan with Remote (White),India INC.,2.8817201461122446,India INC.,2.2857142857142856,India INC.,4.0,India INC.,3.1428571428571432,India INC.,4.242857142857143
29,(CERTIFIED REFURBISHED) Usha Steam Pro SI 3713 1300-Watt Steam Iron (White/Blue),India INC.,2.620417135850357,India INC.,2.2,India INC.,3.66,India INC.,2.93,India INC.,4.16
30,(Certified REFURBISHED) Bajaj FX 11 600-Watt Mixer Grinder with 3 Jars (White),Cloudtail.,2.360047880775052,Cloudtail.,2.0,Cloudtail.,3.4666666666666663,Cloudtail.,2.7333333333333334,Cloudtail.,4.038095238095237
31,"(Certified REFURBISHED) Bajaj Majesty 1603 TSS Oven Toaster Grill, Silver",Cloudtail.,3.1949995163687204,Cloudtail.,2.8000000000000003,Cloudtail.,4.06,Cloudtail.,3.43,Cloudtail.,4.276666666666666
32,"(Certified REFURBISHED) Ganesh Stainless Steel 12 Cutting Blades Vegetable Dicer, Green",Rockingdeals,4.137066313865697,Rockingdeals,4.5,Rockingdeals,3.8666666666666663,Rockingdeals,4.183333333333334,Rockingdeals,4.642857142857143
33,(Certified REFURBISHED) Havells FHVVEDXOWH10 250mm Exhaust Fan (White),Cloudtail.,3.900224534887272,Cloudtail.,4.166666666666667,India INC.,3.716666666666668,India INC.,3.941666666666667,Cloudtail.,4.795238095238095
34,(Certified REFURBISHED) Havells Ventilair DSP 300mm Exhaust Fan (Green),India INC.,3.068279566779293,India INC.,2.6,India INC.,3.96,India INC.,3.28,India INC.,4.343333333333334
35,(Certified REFURBISHED) Maharaja Whiteline MG Livo MX-151 500-Watt Mixer Grinder with 3 Jars (Red),India Sales Corp,2.8271890781407274,India Sales Corp,2.5,India Sales Corp,3.85,India Sales Corp,3.175,India Sales Corp,4.05
36,(Certified REFURBISHED) Morphy Richards Lavo 15-Litre Water Heater (White),Olympia Electronics SLP,3.4075689922866337,Olympia Electronics SLP,3.7142857142857135,Olympia Electronics SLP,3.2571428571428567,Olympia Electronics SLP,3.4857142857142853,Olympia Electronics SLP,4.642857142857143
37,"(Certified REFURBISHED) Nirlon Stainless Steel Flask, 1.8 Litre, Silver",Rockingdeals,3.7675826709802536,Rockingdeals,4.0,Rockingdeals,3.68,Rockingdeals,3.84,Rockingdeals,4.616666666666666
38,(Certified REFURBISHED) Panasonic MX-AC400 550-Watt Super Mixer Grinder with 4 Jars (Black),Olympia Electronics SLP,4.520434090990038,Olympia Electronics SLP,5.0,Olympia Electronics SLP,3.8,Olympia Electronics SLP,4.4,Olympia Electronics SLP,5.0
39,(Certified REFURBISHED) Panasonic SR-WA22H(E) 5.4-Litre Automatic Rice Cooker (Apple Green),Olympia Electronics SLP,3.217400340072545,Olympia Electronics SLP,3.0,Olympia Electronics SLP,3.8666666666666663,Olympia Electronics SLP,3.4333333333333336,Olympia Electronics SLP,4.323809523809524
40,(Certified REFURBISHED) Philips Amaze HL7576/00 600-Watt Juicer Mixer Grinder with 3 Jars (Celestial Blue/Bright White),India INC.,3.5372415467687497,India INC.,3.1428571428571432,India INC.,4.242857142857143,India INC.,3.6928571428571435,India INC.,4.428571428571429
41,(Certified REFURBISHED) Philips EasySpeed Plus GC2040 2100-Watt Steam Iron (Blue),India INC.,4.231869465447131,India INC.,4.4,India INC.,4.18,India INC.,4.29,India INC.,4.6000000000000005
42,(Certified REFURBISHED) Philips EasySpeed Plus GC2048 2300-Watt Steam Iron (Purple),India Sales Corp,4.068053065151196,India Sales Corp,4.285714285714286,India Sales Corp,3.885714285714286,India Sales Corp,4.085714285714286,India Sales Corp,4.714285714285714
43,(Certified REFURBISHED) Philips HD4929 2100-Watt Induction Cooker (Black),India INC.,3.1309094102209505,India INC.,2.5,India INC.,4.05,India INC.,3.2749999999999995,India INC.,4.492857142857143
44,(Certified REFURBISHED) Philips HD9316/06 1800-Watt Electric Kettle (Multicolour),India INC.,3.334755830039425,India INC.,3.0,India INC.,4.0,India INC.,3.5,India INC.,4.428571428571429
45,(Certified REFURBISHED) Philips HR1350/C 250-Watt Hand Blender (White),India INC.,4.137836093767707,India INC.,4.166666666666667,India INC.,4.216666666666666,India INC.,4.191666666666666,India INC.,4.616666666666667
46,(Certified REFURBISHED) Philips MiniVac FC6130 900-Watt Handheld Vacuum Cleaner (White/Grey),India INC.,3.267420812085138,India INC.,2.8000000000000003,India INC.,4.18,India INC.,3.49,India INC.,4.296666666666666
47,(Certified REFURBISHED) Philips Viva Collection HR1863/20 500-Watt Juicer (Black/Silver),India Sales Corp,4.240827197893785,India Sales Corp,4.428571428571429,India Sales Corp,4.0,India Sales Corp,4.214285714285714,India Sales Corp,4.8
48,(Certified REFURBISHED) Preethi Popular MG 142 750-Watt Mixer Grinder with 3 Jars (White),Olympia Electronics SLP,3.672085525799469,Olympia Electronics SLP,3.5,Olympia Electronics SLP,4.075,Olympia Electronics SLP,3.7875,Olympia Electronics SLP,4.515
49,"(Certified REFURBISHED) Tosaa Non-Stick 7 Cavity Appam Patra with Lid, 17cm",Cloudtail.,3.9318451849534464,Cloudtail.,4.333333333333333,Cloudtail.,3.65,Cloudtail.,3.9916666666666663,Cloudtail.,4.633333333333334
50,(Certified REFURBISHED) Usha Crisp Air 250mm Exhaust Fan (Pearl White),Cloudtail.,4.034798185299124,Cloudtail.,4.166666666666667,Cloudtail.,4.04,Cloudtail.,4.1033333333333335,Cloudtail.,4.595238095238095
51,-Hero PRO 30 Lt Black Casual School Backpack Bag,POLESTAR-BAGS,3.524011308943073,POLESTAR-BAGS,3.25,POLESTAR-BAGS,4.0666666666666655,POLESTAR-BAGS,3.6583333333333328,POLESTAR-BAGS,4.483333333333333
52,1 Day Hiking Backpack for Boys/Girl (10L),RUSHI ENTERPRISE,2.7737910427435954,RUSHI ENTERPRISE,2.2857142857142856,RUSHI ENTERPRISE,3.9166666666666665,RUSHI ENTERPRISE,3.1011904761904767,RUSHI ENTERPRISE,4.1000000000000005
53,1 Fabric Large Size Purple 2 wheels Travel Duffel Bag,bnwinternationl,3.371663972245952,bnwinternationl,3.2,bnwinternationl,3.96,bnwinternationl,3.58,bnwinternationl,4.326666666666667
54,10 Pack 5.5 X 2.1mm DC Wire Power Connection Cable Cord 12V Female DC Cable Connector with Pigtail for CCTV Security Camera LED Strip (10 Pack Female Connector),Cart2India Online,2.684321358503126,Cart2India Online,2.0,Cart2India Online,3.942857142857142,Cart2India Online,2.9714285714285715,Cart2India Online,4.2
55,10L Arpenaz Ultra-Compact Backpack,Cart2India Online,3.804459212039845,Cart2India Online,4.166666666666667,Exborders,3.933333333333333,Cart2India Online,3.8916666666666666,Cart2India Online,4.580952380952381
56,10L Unisex Multipurpose Nylon Backpack (Mint Green),Dhruv Sportz,3.7359612867262317,Dhruv Sportz,3.615384615384616,Dhruv Sportz,4.061538461538461,Dhruv Sportz,3.838461538461538,Dhruv Sportz,4.540109890109892
57,13 Slot Leather Brown Credit Card Case,SaiTech IT Private Limited (Since 2013),2.746009933340761,SaiTech IT Private Limited (Since 2013),2.833333333333333,SaiTech IT Private Limited (Since 2013),3.583333333333333,SaiTech IT Private Limited (Since 2013),3.208333333333333,SaiTech IT Private Limited (Since 2013),3.797619047619048
58,15 Ltrs Blue Rucksack (8357823),CAMSHOP,3.582052685790549,CAMSHOP,3.2857142857142856,CAMSHOP,3.7,CAMSHOP,4.3,CAMSHOP,4.3
59,15 Ltrs Navy Anti Theft Waterproof Backpack,Cloudtail India,4.139472083344645,Cloudtail India,4.5,Cloudtail India,3.975,Cloudtail India,4.2375,Cloudtail India,4.5200000000000005
60,15.1 inch LED Backlit Computer Monitor Techcom 38.1CM Monitor Slim TC1611,Aim Square,3.804165765642383,Aim Square,3.6666666666666665,Aim Square,4.033333333333333,Aim Square,3.85,Aim Square,4.666666666666667
61,15.5-inch Backpack Bag,KM&Co,3.383137938698576,Future-mart,3.666666666666667,Tech India Infocom Pvt. Ltd.,3.983333333333333,KM&Co,3.5625,KM&Co,4.3950000000000005
62,"15.6"" Laptop Everyday Backpack (Blue)",Appario Retail Private Ltd,3.244180254886797,Appario Retail Private Ltd,3.0,Appario Retail Private Ltd,3.7599999999999993,Appario Retail Private Ltd,3.3800000000000003,Appario Retail Private Ltd,4.51
63,"18 L Polyester, Light Weight, Day-Trip/School Backpack - 2617",Absolute e Solutions,3.761080925716485,Absolute e Solutions,3.7142857142857135,Absolute e Solutions,3.9857142857142858,Absolute e Solutions,3.8499999999999988,Absolute e Solutions,4.571428571428571
64,"19"" inch Spinner from House of VICTORINOX",Perusal,3.261132677057712,Perusal,3.1428571428571432,Perusal,3.7571428571428567,Perusal,3.45,Perusal,4.385714285714286
65,20 Ltrs Black Faux Leather Water Resistant Anti Theft Laptop Backpack,Cloudtail India,3.66299547967418,Cloudtail India,3.6,Cloudtail India,4.05,Cloudtail India,3.825,Cloudtail India,4.408333333333333
66,20 Ltrs Blue Casual Backpack (MDBKPECO50504),Cloudtail India,3.347006029016613,Cloudtail India,3.0,Cloudtail India,4.071428571428571,Cloudtail India,3.5357142857142856,Cloudtail India,4.371428571428571
67,20 Ltrs Blue and Beige Rucksack (8331243),Dhruv Sportz,2.5726139898534277,Dhruv Sportz,2.75,Dhruv Sportz,3.2,Dhruv Sportz,2.975,Dhruv Sportz,3.96
68,20 Ltrs Brown Faux Leather Water Resistant Anti Theft Laptop Backpack,Cloudtail India,2.969445531973112,Cloudtail India,2.815384615384616,Cloudtail India,3.701538461538461,Cloudtail India,3.2584615384615385,Cloudtail India,4.178461538461539
69,20W 20 WATT 7MM HOT MELT Glue Gun with ON Off Switch and LED Indicator (Free 10 Transparent Glue Sticks),jain1hub,3.863077577188596,jain1hub,3.9230769230769234,VIDISHA CHOCOES & KRAFTS,3.9642857142857144,jain1hub,4.205128205128204,jain1hub,4.4923076923076914
70,26 LTR Blue School Bag with Laptop Pocket (_501),SSN ENTERPRISES,3.1088663075121272,SSN ENTERPRISES,3.0,SSN ENTERPRISES,3.8666666666666667,SSN ENTERPRISES,3.433333333333333,SSN ENTERPRISES,4.0809523809523816
71,26 Ltrs Teal Casual Backpack (BPEON2TEL),Sigma Online,3.3612123422106466,Shantam International,3.1666666666666665,Sigma Online,4.233333333333333,Sigma Online,3.5333333333333337,Sigma Online,4.404761904761905
72,29 Ltrs Blue Casual Backpack (AMT Mist SCH BAG01 Blue),Shop-Box,3.513403770941957,Shop-Box,3.166666666666667,Shop-Box,4.159999999999998,Shop-Box,3.6633333333333336,Shop-Box,4.445714285714284
