web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551206899-24920","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Bags & Luggage","https://www.amazon.in/Luggage-Bags/b/ref=sd_allcat_sbc_mfashion_bags?ie=UTF8&node=2454169031","Polyester 15.6"" Black Laptop Backpack","https://www.amazon.in/Lenovo-Polyester-Black-Laptop-Backpack/dp/B071XSK699/ref=sr_1_55?s=luggage&ie=UTF8&qid=1551206564&sr=1-55","Next Page","https://www.amazon.in/s/ref=lp_2454169031_pg_2?rh=n%3A2454169031&page=2&ie=UTF8&qid=1551206559","Lenovo","3.4 out of 5 stars","Bags & Sleeves","29 offers","https://www.amazon.in/gp/offer-listing/B071XSK699/ref=dp_olp_new?ie=UTF8&condition=new","","","Rs. 302.00",""
"1551204587-18592","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Brown Men's Wallet (TW106LM1DB)","https://www.amazon.in/Titan-Brown-Mens-Wallet-TW106LM1DB/dp/B00I3WUZVQ/ref=lp_2917496031_1_37?s=luggage&ie=UTF8&qid=1551201265&sr=1-37","","","Titan","4.3 out of 5 stars","null","15 offers","https://www.amazon.in/gp/offer-listing/B00I3WUZVQ/ref=dp_olp_new?ie=UTF8&condition=new","Fragrance Cafe","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_9?ie=UTF8&asin=B00I3WUZVQ&isAmazonFulfilled=0&seller=A36AO4E0VPTT9H","","1 out of 5 stars"
"1551204282-17560","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Urban Forest Kevin Green Leather Wallet for Men","https://www.amazon.in/Urban-Forest-Kevin-Leather-Wallet/dp/B07CPMYCXD/ref=lp_2917496031_1_41?s=luggage&ie=UTF8&qid=1551201265&sr=1-41","","","URBAN FOREST","4.4 out of 5 stars","null","1 offer","https://www.amazon.in/gp/offer-listing/B07CPMYCXD/ref=dp_olp_new?ie=UTF8&condition=new","","","Rs. 499.00",""
"1551196518-309","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","The Designer Boutique","https://www.amazon.in/b/ref=sd_allcat_sbc_mfashion_designerstore?ie=UTF8&node=6172354031","Shaze Glittery Serpent Stylish Party Fashion Ring for Women/Girls Rings for Women Stylish | Ring for Girlfriend","https://www.amazon.in/Glittery-Serpent-Stylish-Fashion-Girlfriend/dp/B0778G53QC/ref=sr_1_88?s=apparel&ie=UTF8&qid=1551196224&sr=1-88","Next Page","https://www.amazon.in/s/ref=lp_6172354031_pg_2?rh=n%3A6648217031%2Cn%3A%216648222031%2Cn%3A%216648224031%2Cn%3A6172354031&page=2&ie=UTF8&qid=1551196180","null","null","null","null","","","","",""
"1551206660-24370","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Bags & Luggage","https://www.amazon.in/Luggage-Bags/b/ref=sd_allcat_sbc_mfashion_bags?ie=UTF8&node=2454169031","Polyester 26 LTR School Backpack","https://www.amazon.in/Chris-Kate-Polyester-School-Backpack/dp/B0778JFC13/ref=sr_1_92?s=luggage&ie=UTF8&qid=1551206564&sr=1-92","Next Page","https://www.amazon.in/s/ref=lp_2454169031_pg_2?rh=n%3A2454169031&page=2&ie=UTF8&qid=1551206559","Chris & Kate","3.8 out of 5 stars","null","2 offers","https://www.amazon.in/gp/offer-listing/B0778JFC13/ref=dp_olp_new?ie=UTF8&condition=new","Chris and Kate","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&asin=B0778JFC13&isAmazonFulfilled=1&seller=A2BC6RFUADAE94","","0 out of 5 stars"
"1551208581-29626","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","T-shirts & Polos","https://www.amazon.in/Mens-Tshirts-Polos/b/ref=sd_allcat_sbc_mfashion_tshirts?ie=UTF8&node=1968120031","Men's Polo","https://www.amazon.in/Allen-Solly-Mens-8907587727592_AMKP317G04248_Large_Sea-Green/dp/B06Y2FQT1M/ref=sr_1_55?s=apparel&ie=UTF8&qid=1551208475&sr=1-55","Next Page","https://www.amazon.in/s/ref=lp_1968120031_pg_2?rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1968024031%2Cn%3A1968120031&page=2&ie=UTF8&qid=1551208470","null","3.9 out of 5 stars","Polos","null","","","","",""
"1551206522-23972","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Sunglasses","https://www.amazon.in/Sunglasses/b/ref=sd_allcat_sbc_mfashion_sunglasses?ie=UTF8&node=1968036031","UV Protected Square Men's Sunglasses - (P357BR3|41|Brown)","https://www.amazon.in/Fastrack-Protected-Square-Mens-Sunglasses/dp/B071D85FJL/ref=lp_1968036031_1_14?s=apparel&ie=UTF8&qid=1551206191&sr=1-14","","","null","4.2 out of 5 stars","Sunglasses","null","","","","",""
"1551208823-30366","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Clothing","https://www.amazon.in/Mens-Clothing/b/ref=sd_allcat_sbc_mfashion_clothing?ie=UTF8&node=1968024031","Men's Plain Regular Fit T-Shirt (Pack of 3)","https://www.amazon.in/Chromozome-Regular-T-Shirt-OS-10_White-Grey_M/dp/B07CQMYJC7/ref=sr_1_83?s=apparel&ie=UTF8&qid=1551208702&sr=1-83","Next Page","https://www.amazon.in/s/ref=lp_1968024031_pg_2?rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1968024031&page=2&ie=UTF8&qid=1551208698","null","4.1 out of 5 stars","T-Shirts","null","","","","",""
"1551204422-18021","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Wallets","https://www.amazon.in/wallets-for-men/b/ref=sd_allcat_sbc_mfashion_wallets?ie=UTF8&node=2917496031","Tan Men's Wallet","https://www.amazon.in/TnW-Tan-Mens-Wallet/dp/B01N1WVHHB/ref=lp_2917496031_1_38?s=luggage&ie=UTF8&qid=1551201265&sr=1-38","","","TnW","3.9 out of 5 stars","null","11 offers","https://www.amazon.in/gp/offer-listing/B01N1WVHHB/ref=dp_olp_new?ie=UTF8&condition=new","Izcorp India","https://www.amazon.in/gp/aag/main/ref=olp_merch_name_9?ie=UTF8&asin=B01N1WVHHB&isAmazonFulfilled=0&seller=AY8XQCJRZC5Z7","","4 out of 5 stars"
"1551206524-23988","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Sunglasses","https://www.amazon.in/Sunglasses/b/ref=sd_allcat_sbc_mfashion_sunglasses?ie=UTF8&node=1968036031","Metal-Crown Wayfarer Rectangular Combo Unisex Sunglasses (AV035|40|Multicolour)","https://www.amazon.in/Silver-Kartz-Metal-Crown-Rectangular-Multicolour/dp/B01KVBK1T2/ref=lp_1968036031_1_13?s=apparel&ie=UTF8&qid=1551206191&sr=1-13","","","null","3.1 out of 5 stars","Sunglasses","null","","","","",""
