web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551200220-6798","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fiction Books","https://www.amazon.in/literature-fiction-books/b/ref=sd_allcat_sbc_books_fiction?ie=UTF8&node=1318157031","The Empty House","https://www.amazon.in/Empty-House-Ruskin-Bond-ebook/dp/B01M5FAI6F/ref=lp_1318157031_1_11?s=books&ie=UTF8&qid=1551200049&sr=1-11","","","null","3.5 out of 5 stars","null","null","","","","",""
"1551196703-826","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Kindle eBooks","https://www.amazon.in/ebooks-kindle/b/ref=sd_allcat_sbc_books_ebooks?ie=UTF8&node=1634753031","The Girl in Room 105","https://www.amazon.in/Girl-Room-105-Chetan-Bhagat-ebook/dp/B07GFSZRCL/ref=lp_1634753031_1_13?s=digital-text&ie=UTF8&qid=1551196519&sr=1-13","","","null","4.1 out of 5 stars","null","null","","","","",""
"1551199365-4932","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Children's Books","https://www.amazon.in/children-books/b/ref=sd_allcat_sbc_books_children?ie=UTF8&node=1318073031","Peppa Pig: Little Library","https://www.amazon.in/Peppa-Pig-Little-Library-Ladybird/dp/1409303187/ref=lp_1318073031_1_7?s=books&ie=UTF8&qid=1551198114&sr=1-7","","","null","4.0 out of 5 stars","null","null","","","","",""
"1551197002-1613","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Indian Language Books","https://www.amazon.in/Indian-Language-Books/b/ref=sd_allcat_sbc_books_indian?ie=UTF8&node=4932325031","एन टी  ए-, यू. जी. सी. (नेट /सेट/जे आर एफ) सामान्य पेपर-1 : शिक्षण एवं शोध अभियोग्यता (UGC NET/SET Paper 1 - in Hindi (July 2018 paper included)","https://www.amazon.in/%E0%A4%AF%E0%A5%82-%E0%A4%9C%E0%A5%80-%E0%A4%B8%E0%A5%80-%E0%A4%B8%E0%A4%BE%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%AF-%E0%A4%AA%E0%A5%87%E0%A4%AA%E0%A4%B0-1/dp/9332587841/ref=lp_4932325031_1_13?s=books&ie=UTF8&qid=1551196858&sr=1-13","","","null","4.3 out of 5 stars","null","null","","","","",""
"1551196223-26","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Audible Audiobooks & more","https://www.amazon.in/b/ref=sd_allcat_aud?ie=UTF8&node=11477925031","Inglorious Empire: What the British Did to India","https://www.amazon.in/Inglorious-Empire-What-British-India/dp/B07B4J7QLM/ref=sr_1_26?ie=UTF8&qid=1551196103&sr=1-26","Next Page","https://www.amazon.in/s/ref=lp_11477925031_pg_2?rh=n%3A976389031%2Cn%3A%215579306031%2Cn%3A%215579319031%2Cn%3A11477925031&page=2&ie=UTF8&qid=1551196097","null","4.3 out of 5 stars","null","null","","","","",""
"1551199916-6007","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Editor's Corner","https://www.amazon.in/b/ref=sd_allcat_sbc_books_editorscorner?ie=UTF8&node=10591963031","Diary of a Wimpy Kid: Dog Days","https://www.amazon.in/Diary-Wimpy-Kid-Dog-Days/dp/0141331976/ref=sr_1_24?s=books&ie=UTF8&qid=1551199855&sr=1-24","Next Page","https://www.amazon.in/s/ref=lp_10591963031_pg_2?rh=n%3A976389031%2Cn%3A%211318447031%2Cn%3A%211318449031%2Cn%3A10591963031&page=2&ie=UTF8&qid=1551199835","null","4.6 out of 5 stars","null","null","","","","",""
"1551199979-6173","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Editor's Corner","https://www.amazon.in/b/ref=sd_allcat_sbc_books_editorscorner?ie=UTF8&node=10591963031","Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future","https://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638/ref=lp_10591963031_1_12?s=books&ie=UTF8&qid=1551199835&sr=1-12","","","null","4.5 out of 5 stars","null","null","","","","",""
"1551196159-9","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Audible Audiobooks & more","https://www.amazon.in/b/ref=sd_allcat_aud?ie=UTF8&node=11477925031","Bad Blood","https://www.amazon.in/Bad-Blood/dp/B07CY257MM/ref=sr_1_29?ie=UTF8&qid=1551196103&sr=1-29","Next Page","https://www.amazon.in/s/ref=lp_11477925031_pg_2?rh=n%3A976389031%2Cn%3A%215579306031%2Cn%3A%215579319031%2Cn%3A11477925031&page=2&ie=UTF8&qid=1551196097","null","4.8 out of 5 stars","null","null","","","","",""
"1551200089-6448","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fiction Books","https://www.amazon.in/literature-fiction-books/b/ref=sd_allcat_sbc_books_fiction?ie=UTF8&node=1318157031","[Sponsored]Meluha Ke Mritunjay (Immortals of Meluha)","https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_stripbooks_sr_pg2_3?ie=UTF8&adId=A07119732J71WW0MFDX44&url=https%3A%2F%2Fwww.amazon.in%2FMeluha-Ke-Mritunjay-Immortals%2Fdp%2F9380658826%2Fref%3Dsr_1_34_sspa%3Fs%3Dbooks%26ie%3DUTF8%26qid%3D1551200057%26sr%3D1-34-spons%26psc%3D1&qualifier=1551200057&id=2690880219998324&widgetName=sp_btf_browse","Next Page","https://www.amazon.in/s/ref=lp_1318157031_pg_2?rh=n%3A976389031%2Cn%3A%21976390031%2Cn%3A1318157031&page=2&ie=UTF8&qid=1551200049","null","4.5 out of 5 stars","null","null","","","","",""
"1551200255-6926","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fiction Books","https://www.amazon.in/literature-fiction-books/b/ref=sd_allcat_sbc_books_fiction?ie=UTF8&node=1318157031","The Girl in Room 105","https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469/ref=lp_1318157031_1_6?s=books&ie=UTF8&qid=1551200049&sr=1-6","","","null","4.1 out of 5 stars","null","null","","","","",""
"1551199955-6128","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Editor's Corner","https://www.amazon.in/b/ref=sd_allcat_sbc_books_editorscorner?ie=UTF8&node=10591963031","Diary of a Wimpy Kid","https://www.amazon.in/Diary-Wimpy-Kid-Jeff-Kinney/dp/0141324902/ref=lp_10591963031_1_15?s=books&ie=UTF8&qid=1551199835&sr=1-15","","","null","4.6 out of 5 stars","null","null","","","","",""
"1551196771-957","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Kindle eBooks","https://www.amazon.in/ebooks-kindle/b/ref=sd_allcat_sbc_books_ebooks?ie=UTF8&node=1634753031","The Art Of Saying NO: How To Stand Your Ground, Reclaim Your Time And Energy, And Refuse To Be Taken For Granted (Without Feeling Guilty!)","https://www.amazon.in/Art-Saying-NO-Reclaim-Granted-ebook/dp/B074LZG7KS/ref=lp_1634753031_1_11?s=digital-text&ie=UTF8&qid=1551196519&sr=1-11","","","null","4.3 out of 5 stars","null","null","","","","",""
"1551197979-3341","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Exam Central","https://www.amazon.in/Exam-Preparations-Books/b/ref=sd_allcat_sbc_books_examcentral?ie=UTF8&node=4149751031","RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Mechanical & Allied Engineering","https://www.amazon.in/RRB-Railway-Recruitment-Board-2019/dp/9388426797/ref=lp_4149751031_1_14?s=books&ie=UTF8&qid=1551197455&sr=1-14","","","null","3.2 out of 5 stars","null","null","","","","",""
"1551197143-2000","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Textbooks","https://www.amazon.in/Text-Books/b/ref=sd_allcat_sbc_books_textbooks?ie=UTF8&node=4149418031","Mein Kampf","https://www.amazon.in/Mein-Kampf-Adolf-Hitler/dp/8172345429/ref=sr_1_26?s=books&ie=UTF8&qid=1551197065&sr=1-26","Next Page","https://www.amazon.in/s/ref=lp_4149418031_pg_2?rh=n%3A976389031%2Cn%3A%21976390031%2Cn%3A15417300031%2Cn%3A4149418031&page=2&ie=UTF8&qid=1551197059","null","4.0 out of 5 stars","null","null","","","","",""
"1551200247-6881","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Fiction Books","https://www.amazon.in/literature-fiction-books/b/ref=sd_allcat_sbc_books_fiction?ie=UTF8&node=1318157031","It's All In The Planets","https://www.amazon.in/Its-All-Planets-Preeti-Shenoy-ebook/dp/B01JP3CBFY/ref=lp_1318157031_1_7?s=books&ie=UTF8&qid=1551200049&sr=1-7","","","null","4.3 out of 5 stars","null","null","","","","",""
"1551196589-461","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Kindle eBooks","https://www.amazon.in/ebooks-kindle/b/ref=sd_allcat_sbc_books_ebooks?ie=UTF8&node=1634753031","The Promise: A Passionate Romance","https://www.amazon.in/Promise-Passionate-Romance-M-V-Kasi-ebook/dp/B07N47F2D6/ref=sr_1_29?s=digital-text&ie=UTF8&qid=1551196538&sr=1-29","Next Page","https://www.amazon.in/s/ref=lp_1634753031_pg_2?rh=n%3A1571277031%2Cn%3A%211571278031%2Cn%3A1634753031&page=2&ie=UTF8&qid=1551196519","null","4.5 out of 5 stars","null","null","","","","",""
"1551196876-1237","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Indian Language Books","https://www.amazon.in/Indian-Language-Books/b/ref=sd_allcat_sbc_books_indian?ie=UTF8&node=4932325031","Rapidex English Speaking Course","https://www.amazon.in/Rapidex-English-Speaking-Course-Editorial/dp/8122300200/ref=sr_1_31?s=books&ie=UTF8&qid=1551196866&sr=1-31","Next Page","https://www.amazon.in/s/ref=lp_4932325031_pg_2?rh=n%3A976389031%2Cn%3A%211318447031%2Cn%3A%211318449031%2Cn%3A4932325031&page=2&ie=UTF8&qid=1551196858","null","4.1 out of 5 stars","null","null","","","","",""
"1551196752-934","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Kindle eBooks","https://www.amazon.in/ebooks-kindle/b/ref=sd_allcat_sbc_books_ebooks?ie=UTF8&node=1634753031","Sita - Mithila Ki Yoddha Ram Chandra Shrinkhala Kitab 2 (Sita - Warrior of Mithila-Hindi) (Hindi Edition)","https://www.amazon.in/Sita-Mithila-Chandra-Shrinkhala-Mithila-Hindi-ebook/dp/B071JRC774/ref=lp_1634753031_1_12?s=digital-text&ie=UTF8&qid=1551196519&sr=1-12","","","null","4.3 out of 5 stars","null","null","","","","",""
