web-scraper-order,web-scraper-start-url,MultiLink,MultiLink-href,Product,Product-href,Pagination,Pagination-href,Brand,ProductRating,Category,Sellers,Sellers-href,SellerName,SellerName-href,Price,FeedBack
"1551201089-9165","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Sunglasses","https://www.amazon.in/Sunglasses/b/ref=sd_allcat_sbc_wfashion_sunglasses?ie=UTF8&node=1968401031","Women's Eyewear Sunglasses Round Circle Cat Eye (Brown)","https://www.amazon.in/Ziory-Womens-Eyewear-Sunglasses-Circle/dp/B07GBXN4VR/ref=lp_1968401031_1_25?s=apparel&ie=UTF8&qid=1551200820&sr=1-25","","","null","2.4 out of 5 stars","Sunglasses","null","","","","",""
"1551204147-17133","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Top Brands","https://www.amazon.in/s/ref=sd_allcat_sbc_wfashion_topbrands?_encoding=UTF8&bbn=1953602031&lo=apparel&rh=i%3Aapparel%2Cn%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Ck%3A-sunglass%20-eye%2Cp_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031","Women's Cotton Padded Active Bra","https://www.amazon.in/Jockey-1378_Black_M-Womens-Bra/dp/B010UXJT9E/ref=sr_1_25?s=apparel&rps=1&ie=UTF8&qid=1551203916&sr=1-25&keywords=-sunglass+-eye&refinements=p_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031","","","null","4.1 out of 5 stars","Bras","null","","","","",""
"1551203440-14797","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Handbags & Clutches","https://www.amazon.in/Handbags-Clutches/b/ref=sd_allcat_sbc_wfashion_handbags?ie=UTF8&node=1983338031","Women's Handbag (Red)","https://www.amazon.in/Isle-Coco-Hidesign-Womens-Handbag/dp/B07L6DMBQQ/ref=lp_1983338031_1_17?s=shoes&ie=UTF8&qid=1551202828&sr=1-17","","","null","null","null","null","","","","",""
"1551199504-5173","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Ballerinas","https://www.amazon.in/Ballet-Flats/b/ref=sd_allcat_sbc_wfashion_ballerina?ie=UTF8&node=1983627031","Women's Ballerinas","https://www.amazon.in/Elise-Womens-Ballet-Flats-5-NFB-489/dp/B07N274MR8/ref=lp_1983627031_1_11?s=shoes&ie=UTF8&qid=1551197081&sr=1-11","","","null","null","Ballet Flats","null","","","","",""
"1551204612-18682","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Western Wear","https://www.amazon.in/womens-western-wear/b/ref=sd_allcat_sbc_wfashion_western?ie=UTF8&node=11400137031","Women's Crepe Top","https://www.amazon.in/Istyle-Can-Embroidred-Handcrafted-Mustred/dp/B07GLZ17KN/ref=sr_1_67?s=apparel&ie=UTF8&qid=1551204522&sr=1-67","Next Page","https://www.amazon.in/s/ref=lp_11400137031_pg_2?rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A11400137031&page=2&ie=UTF8&qid=1551204517","null","4.1 out of 5 stars","Tops, T-Shirts & Shirts","null","","","","",""
"1551203380-14549","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Handbags & Clutches","https://www.amazon.in/Handbags-Clutches/b/ref=sd_allcat_sbc_wfashion_handbags?ie=UTF8&node=1983338031","Women's Sling Bag (Red)","https://www.amazon.in/Isle-Coco-Hidesign-Womens-Sling/dp/B07L6NSYW5/ref=lp_1983338031_1_27?s=shoes&ie=UTF8&qid=1551202828&sr=1-27","","","null","null","null","null","","","","",""
"1551196971-1519","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","The Designer Boutique","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_designerstore?ie=UTF8&node=6172354031","Silk Saree with Blouse Piece (TT-5480SA_Peach_Free Size)","https://www.amazon.in/Talking-Threads-Saree-Blouse-TT-5480SA_Peach_Free/dp/B074C1CBGL/ref=lp_6172354031_1_19?s=apparel&ie=UTF8&qid=1551196298&sr=1-19","","","null","null","Sarees","null","","","","",""
"1551204483-18249","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Lingerie & Nightwear","https://www.amazon.in/b/ref=sd_allcat_sbc_wfashion_lingerie?ie=UTF8&node=11400136031","Sensuous Women's Satin Nighty","https://www.amazon.in/Klamotten-Womens-Satin-Nighty-Kn102_Pink_Free/dp/B00ITJONPM/ref=lp_11400136031_1_15?s=apparel&ie=UTF8&qid=1551204218&sr=1-15","","","null","3.8 out of 5 stars","Nighties & Nightdresses","null","","","","",""
"1551201098-9178","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Sunglasses","https://www.amazon.in/Sunglasses/b/ref=sd_allcat_sbc_wfashion_sunglasses?ie=UTF8&node=1968401031","Unisex UV Protected Round Stylish Mercury Sunglasses For Men Women Boys & Girls (RPRDWAY-BB|55|Black) -...","https://www.amazon.in/Younky-Protected-Stylish-Sunglasses-RPRDWAY-BB/dp/B078ZKXZRT/ref=lp_1968401031_1_23?s=apparel&ie=UTF8&qid=1551200820&sr=1-23","","","null","2.8 out of 5 stars","Sunglasses","null","","","","",""
"1551201065-9084","https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn","Sunglasses","https://www.amazon.in/Sunglasses/b/ref=sd_allcat_sbc_wfashion_sunglasses?ie=UTF8&node=1968401031","UV Protected Wayfarer Unisex Sunglasses - (SOC-SM-076-C1|56|Grey Color Lens)","https://www.amazon.in/Superman-Protected-Wayfarer-Unisex-Sunglasses/dp/B0711HDBY7/ref=lp_1968401031_1_32?s=apparel&ie=UTF8&qid=1551200820&sr=1-32","","","null","4.6 out of 5 stars","Sunglasses","null","","","","",""
